gene,scaffold,gene_id,gene_description,category,header,subheader,module,amg_flags,d,p,f,spore_likely
Ma_2019_SRR413768_NODE_2608_length_6198_cov_2.176624_3,Ma_2019_SRR413768_NODE_2608_length_6198_cov_2.176624,K04769,spoVT;stage V sporulation protein T,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413768_NODE_74_length_120036_cov_10.094382_7,Ma_2019_SRR413768_NODE_74_length_120036_cov_10.094382,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TFM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413768_NODE_74_length_120036_cov_10.094382_73,Ma_2019_SRR413768_NODE_74_length_120036_cov_10.094382,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413770_NODE_238_length_84192_cov_17.657820_76,Ma_2019_SRR413770_NODE_238_length_84192_cov_17.657820,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413770_NODE_512_length_50319_cov_16.207484_51,Ma_2019_SRR413770_NODE_512_length_50319_cov_16.207484,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413770_NODE_648_length_39980_cov_4.107176_31,Ma_2019_SRR413770_NODE_648_length_39980_cov_4.107176,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413771_NODE_239_length_72488_cov_5.374995_40,Ma_2019_SRR413771_NODE_239_length_72488_cov_5.374995,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413771_NODE_3896_length_7757_cov_2.803038_8,Ma_2019_SRR413771_NODE_3896_length_7757_cov_2.803038,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Peptostreptococcaceae,TRUE
Ma_2019_SRR413771_NODE_525_length_44587_cov_3.534357_2,Ma_2019_SRR413771_NODE_525_length_44587_cov_3.534357,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Ma_2019_SRR413772_NODE_1599_length_19248_cov_2.256448_2,Ma_2019_SRR413772_NODE_1599_length_19248_cov_2.256448,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Ma_2019_SRR413772_NODE_235_length_74287_cov_3.382948_75,Ma_2019_SRR413772_NODE_235_length_74287_cov_3.382948,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Ma_2019_SRR413772_NODE_2631_length_12445_cov_2.386118_5,Ma_2019_SRR413772_NODE_2631_length_12445_cov_2.386118,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413772_NODE_337_length_57581_cov_13.240274_58,Ma_2019_SRR413772_NODE_337_length_57581_cov_13.240274,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413773_NODE_4008_length_7665_cov_2.014849_3,Ma_2019_SRR413773_NODE_4008_length_7665_cov_2.014849,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413773_NODE_4008_length_7665_cov_2.014849_4,Ma_2019_SRR413773_NODE_4008_length_7665_cov_2.014849,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413773_NODE_4146_length_7339_cov_4.523064_1,Ma_2019_SRR413773_NODE_4146_length_7339_cov_4.523064,K23989,lytD;beta-N-acetylglucosaminidase,MISC,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413773_NODE_4146_length_7339_cov_4.523064_2,Ma_2019_SRR413773_NODE_4146_length_7339_cov_4.523064,K23989,lytD;beta-N-acetylglucosaminidase,MISC,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Ma_2019_SRR413773_NODE_4146_length_7339_cov_4.523064_5,Ma_2019_SRR413773_NODE_4146_length_7339_cov_4.523064,K23989,lytD;beta-N-acetylglucosaminidase,MISC,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Manrique_Person1_NODE_103_length_39706_cov_9.634082_51,Manrique_Person1_NODE_103_length_39706_cov_9.634082,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Manrique_Person1_NODE_121_length_35817_cov_7.314104_31,Manrique_Person1_NODE_121_length_35817_cov_7.314104,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Manrique_Person1_NODE_32_length_77149_cov_432.039316_125,Manrique_Person1_NODE_32_length_77149_cov_432.039316,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Manrique_Person1_NODE_42_length_63305_cov_138.490972_33,Manrique_Person1_NODE_42_length_63305_cov_138.490972,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Manrique_Person1_NODE_5_length_177432_cov_94.637394_45,Manrique_Person1_NODE_5_length_177432_cov_94.637394,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__CAG-508,TRUE
Manrique_Person1_NODE_80_length_46805_cov_18.767786_39,Manrique_Person1_NODE_80_length_46805_cov_18.767786,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Manrique_Person2_NODE_112_length_15256_cov_169.742342_1,Manrique_Person2_NODE_112_length_15256_cov_169.742342,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Manrique_Person2_NODE_126_length_11972_cov_2474.527566_15,Manrique_Person2_NODE_126_length_11972_cov_2474.527566,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Manrique_Person2_NODE_136_length_10815_cov_1645.009480_6,Manrique_Person2_NODE_136_length_10815_cov_1645.009480,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Manrique_Person2_NODE_27_length_52996_cov_6.184073_60,Manrique_Person2_NODE_27_length_52996_cov_6.184073,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Manrique_Person2_NODE_30_length_51526_cov_38.682870_58,Manrique_Person2_NODE_30_length_51526_cov_38.682870,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Manrique_Person2_NODE_43_length_42325_cov_7.111190_6,Manrique_Person2_NODE_43_length_42325_cov_7.111190,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Manrique_Person2_NODE_47_length_40965_cov_15.718724_12,Manrique_Person2_NODE_47_length_40965_cov_15.718724,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Manrique_Person2_NODE_58_length_37611_cov_51.391842_27,Manrique_Person2_NODE_58_length_37611_cov_51.391842,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__CAG-552,TRUE
Manrique_Person2_NODE_65_length_35864_cov_28.569187_43,Manrique_Person2_NODE_65_length_35864_cov_28.569187,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Manrique_Person2_NODE_6_length_153883_cov_16.062856_20,Manrique_Person2_NODE_6_length_153883_cov_16.062856,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TM,Bacteria,p__Firmicutes_A,f__CAG-274,FALSE
Manrique_Person2_NODE_72_length_34338_cov_383.466383_45,Manrique_Person2_NODE_72_length_34338_cov_383.466383,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Bacteroidota,f__Muribaculaceae,NA
Manrique_Person2_NODE_74_length_33544_cov_29.065096_22,Manrique_Person2_NODE_74_length_33544_cov_29.065096,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Manrique_Person2_NODE_76_length_31969_cov_12.633640_48,Manrique_Person2_NODE_76_length_31969_cov_12.633640,K07097,nrnB;oligoribonuclease NrnB,MISC,Sporulation,Sporulation proteins,Newly identified sporulation proteins (based on transcription profiling),M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_LF_HF_2016_3_454_NODE_1_length_80792_cov_23.720114_81,Minot_Diet_LF_HF_2016_3_454_NODE_1_length_80792_cov_23.720114,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088933_NODE_1_length_190900_cov_250.329278_109,Minot_Diet_SRR5088933_NODE_1_length_190900_cov_250.329278,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088933_NODE_6_length_62442_cov_45.360380_34,Minot_Diet_SRR5088933_NODE_6_length_62442_cov_45.360380,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088935_NODE_111_length_24875_cov_8.037712_14,Minot_Diet_SRR5088935_NODE_111_length_24875_cov_8.037712,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088935_NODE_134_length_20306_cov_24.612908_5,Minot_Diet_SRR5088935_NODE_134_length_20306_cov_24.612908,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088935_NODE_144_length_19627_cov_6.735898_3,Minot_Diet_SRR5088935_NODE_144_length_19627_cov_6.735898,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088935_NODE_167_length_16519_cov_22.620445_19,Minot_Diet_SRR5088935_NODE_167_length_16519_cov_22.620445,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Actinobacteriota,f__Eggerthellaceae,NA
Minot_Diet_SRR5088935_NODE_1_length_174928_cov_113.053873_116,Minot_Diet_SRR5088935_NODE_1_length_174928_cov_113.053873,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088935_NODE_2_length_145786_cov_392.167384_5,Minot_Diet_SRR5088935_NODE_2_length_145786_cov_392.167384,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Minot_Diet_SRR5088935_NODE_2_length_145786_cov_392.167384_53,Minot_Diet_SRR5088935_NODE_2_length_145786_cov_392.167384,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Minot_Diet_SRR5088935_NODE_42_length_40849_cov_17.886601_19,Minot_Diet_SRR5088935_NODE_42_length_40849_cov_17.886601,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088935_NODE_57_length_37537_cov_7.148231_37,Minot_Diet_SRR5088935_NODE_57_length_37537_cov_7.148231,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088935_NODE_66_length_36536_cov_13.727557_8,Minot_Diet_SRR5088935_NODE_66_length_36536_cov_13.727557,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088935_NODE_66_length_36536_cov_13.727557_23,Minot_Diet_SRR5088935_NODE_66_length_36536_cov_13.727557,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088935_NODE_92_length_29586_cov_6.149301_1,Minot_Diet_SRR5088935_NODE_92_length_29586_cov_6.149301,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088935_NODE_96_length_27957_cov_7.976417_21,Minot_Diet_SRR5088935_NODE_96_length_27957_cov_7.976417,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088936_NODE_136_length_17625_cov_5.493853_27,Minot_Diet_SRR5088936_NODE_136_length_17625_cov_5.493853,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088936_NODE_1_length_147496_cov_48.849587_6,Minot_Diet_SRR5088936_NODE_1_length_147496_cov_48.849587,K07097,nrnB;oligoribonuclease NrnB,MISC,Sporulation,Sporulation proteins,Newly identified sporulation proteins (based on transcription profiling),TFM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088936_NODE_238_length_11159_cov_6.453530_4,Minot_Diet_SRR5088936_NODE_238_length_11159_cov_6.453530,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088936_NODE_25_length_46496_cov_16.841541_38,Minot_Diet_SRR5088936_NODE_25_length_46496_cov_16.841541,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088936_NODE_33_length_42057_cov_33.400695_78,Minot_Diet_SRR5088936_NODE_33_length_42057_cov_33.400695,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088936_NODE_36_length_38986_cov_13.174488_43,Minot_Diet_SRR5088936_NODE_36_length_38986_cov_13.174488,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088936_NODE_42_length_37522_cov_13.289828_12,Minot_Diet_SRR5088936_NODE_42_length_37522_cov_13.289828,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088936_NODE_42_length_37522_cov_13.289828_40,Minot_Diet_SRR5088936_NODE_42_length_37522_cov_13.289828,K07097,nrnB;oligoribonuclease NrnB,MISC,Sporulation,Sporulation proteins,Newly identified sporulation proteins (based on transcription profiling),M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088936_NODE_500_length_6177_cov_3.947730_2,Minot_Diet_SRR5088936_NODE_500_length_6177_cov_3.947730,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088936_NODE_71_length_28675_cov_8.676590_31,Minot_Diet_SRR5088936_NODE_71_length_28675_cov_8.676590,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088937_NODE_1_length_106040_cov_333.270000_54,Minot_Diet_SRR5088937_NODE_1_length_106040_cov_333.270000,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Minot_Diet_SRR5088937_NODE_36_length_24784_cov_8.902827_34,Minot_Diet_SRR5088937_NODE_36_length_24784_cov_8.902827,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088938_NODE_22_length_45645_cov_12.543694_6,Minot_Diet_SRR5088938_NODE_22_length_45645_cov_12.543694,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088938_NODE_25_length_44507_cov_59.019527_53,Minot_Diet_SRR5088938_NODE_25_length_44507_cov_59.019527,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088938_NODE_2_length_121480_cov_35.829846_87,Minot_Diet_SRR5088938_NODE_2_length_121480_cov_35.829846,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088938_NODE_40_length_37347_cov_46.942159_19,Minot_Diet_SRR5088938_NODE_40_length_37347_cov_46.942159,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Acutalibacteraceae,FALSE
Minot_Diet_SRR5088938_NODE_49_length_34088_cov_6.662592_6,Minot_Diet_SRR5088938_NODE_49_length_34088_cov_6.662592,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088938_NODE_56_length_30828_cov_6.630293_41,Minot_Diet_SRR5088938_NODE_56_length_30828_cov_6.630293,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088938_NODE_76_length_23244_cov_45.404114_18,Minot_Diet_SRR5088938_NODE_76_length_23244_cov_45.404114,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Minot_Diet_SRR5088938_NODE_8_length_84799_cov_71.307101_92,Minot_Diet_SRR5088938_NODE_8_length_84799_cov_71.307101,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Bacteroidota,f__UBA932,NA
Minot_Diet_SRR5088939_NODE_29_length_45645_cov_73.815288_10,Minot_Diet_SRR5088939_NODE_29_length_45645_cov_73.815288,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Bacteroidota,f__F082,NA
Minot_Diet_SRR5088939_NODE_41_length_41269_cov_19.525938_36,Minot_Diet_SRR5088939_NODE_41_length_41269_cov_19.525938,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088939_NODE_46_length_38927_cov_37.799830_56,Minot_Diet_SRR5088939_NODE_46_length_38927_cov_37.799830,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088939_NODE_4_length_117778_cov_10.833049_30,Minot_Diet_SRR5088939_NODE_4_length_117778_cov_10.833049,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TM,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
Minot_Diet_SRR5088939_NODE_5_length_117528_cov_16.646344_98,Minot_Diet_SRR5088939_NODE_5_length_117528_cov_16.646344,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088939_NODE_5_length_117528_cov_16.646344_102,Minot_Diet_SRR5088939_NODE_5_length_117528_cov_16.646344,K07097,nrnB;oligoribonuclease NrnB,MISC,Sporulation,Sporulation proteins,Newly identified sporulation proteins (based on transcription profiling),TM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088939_NODE_67_length_30824_cov_6.553512_22,Minot_Diet_SRR5088939_NODE_67_length_30824_cov_6.553512,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088939_NODE_67_length_30824_cov_6.553512_34,Minot_Diet_SRR5088939_NODE_67_length_30824_cov_6.553512,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088939_NODE_6_length_104398_cov_8.531267_57,Minot_Diet_SRR5088939_NODE_6_length_104398_cov_8.531267,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088940_NODE_163_length_22037_cov_7.937039_17,Minot_Diet_SRR5088940_NODE_163_length_22037_cov_7.937039,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088940_NODE_37_length_52193_cov_20.262956_71,Minot_Diet_SRR5088940_NODE_37_length_52193_cov_20.262956,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088940_NODE_46_length_45614_cov_43.151101_37,Minot_Diet_SRR5088940_NODE_46_length_45614_cov_43.151101,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088940_NODE_46_length_45614_cov_43.151101_54,Minot_Diet_SRR5088940_NODE_46_length_45614_cov_43.151101,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088940_NODE_513_length_7750_cov_12.961533_7,Minot_Diet_SRR5088940_NODE_513_length_7750_cov_12.961533,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Minot_Diet_SRR5088940_NODE_54_length_42863_cov_7.553868_42,Minot_Diet_SRR5088940_NODE_54_length_42863_cov_7.553868,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__CAG-138,FALSE
Minot_Diet_SRR5088940_NODE_732_length_6038_cov_21.833361_2,Minot_Diet_SRR5088940_NODE_732_length_6038_cov_21.833361,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Minot_Diet_SRR5088940_NODE_73_length_38500_cov_65.610118_35,Minot_Diet_SRR5088940_NODE_73_length_38500_cov_65.610118,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Minot_Diet_SRR5088940_NODE_73_length_38500_cov_65.610118_43,Minot_Diet_SRR5088940_NODE_73_length_38500_cov_65.610118,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
