locus,title,description,function,product
BSU_38540,dltE,"D-alanine transfer from undecaprenol-phosphate to the poly(glycerophosphate) chain,alanylation of teichoic acid provides some resistance against positively charged antimicrobial peptides",biosynthesis of teichoic acid,D-alanine transfer from undecaprenol-phosphate to the poly(glycerophosphate) chain
BSU_05940,tsaD,"required for threonyl carbamoyl adenosine (t6A) modification of tRNAs that pair with ANN codons in mRNA (together with TsaC),universally conserved protein",tRNA modification,tRNA modification enzyme
BSU_24450,efp,"elongation factor P,important for the [[category|SW.3.3.1]] of proteins containing three or more consecutive proline residues",[[category|SW.3.3.1]],elongation factor P
BSU_26960,yraF,"forespore-specific sporulation protein,similar to spore coat protein",unknown,unknown
BSU_04190,ydaD,"general stress protein,similar to alcohol dehydrogenase",unknown,unknown
BSU_15380,ylmE,"pyridoxal phosphate-binding protein,involved in controlling the availability of coenzyme A",control of the CoA pool,pyridoxal phosphate-binding protein
BSU_30440,ytrC,"[wiki|ABC transporter] (hydrophobic protein,probably channel protein)",unknown,[wiki|ABC transporter] (hydrophobic protein
BSU_06074,ydzW/2,"putative phosphomannomutase,internal part of YdzW",unknown,unknown
BSU_16299,swrD,"swarming protein,increases flagellar power via the flagellar stators [[protein|86C729C7D5ABEE519ADC4A893940600BBB655EF1]] and [[protein|FE56753D061344B0F10A6523F49C5C7356AA40B6]]",swarming,swarming protein
BSU_07080,yesZ,"beta-galactosidase,has transgalactosylation activity",unknown,beta-galactosidase
BSU_08310,lnrL,"similar to [wiki|ABC transporter] (ATP-binding protein),involved in resistance to linearmycin",resistance to linearmycin,[wiki|ABC transporter] (ATP-binding protein)
BSU_04960,conG,"part of the ICEBs1 conjugation machinery,exclusion specificity factor",conjugative transfer of ICEBs1,part of the ICEBs1 conjugation machinery
BSU_13830,ykvU,"spore cortex  membrane protein,required for germination at high pressure",germination at high pressure,spore cortex  membrane protein
BSU_08460,yfhA,"[wiki|ABC transporter] for the siderophore schizokinen and arthrobactin (permease),works with  ATPase [[protein|5C52DB31F378E49AABE5D937DD901A68F3810477]]",[wiki|acquisition of iron],[wiki|ABC transporter] for the siderophore schizokinen and arthrobactin (permease)
BSU_16020,rimM,"16S rRNA processing protein,RNase",maturation of 16S rRNA,16S rRNA processing protein
BSU_38490,menA,"probable 1,4-dihydroxy-2-naphthoate octaprenyltransferase",biosynthesis of menaquinone,probable 1
BSU_17678,ynzJ,"unknown,putative pseudogene",unknown,unknown
BSU_27010,adhA,"thiol-dependent aldehyde dehydrogenase,repair of damaged thiol-containing proteins",response to toxic formaldehyde,thiol-dependent aldehyde dehydrogenase
BSU_04536,fbpA,"[[protein|F899F1EE27E6D503BCC06BC52E3C7FD80B8EF725]]-regulated basic protein,acts as RNA chaperone for [[gene|CE542AE1A32CCD1ABB259E6159F7A37A8078E189]]",RNA chaperone,[[protein|F899F1EE27E6D503BCC06BC52E3C7FD80B8EF725]]-regulated basic protein
BSU_12800,xhlB,"putative holin,required for the formation of membrane vesicles in a sub-population of cells",host cell lysis,putative holin
BSU_19150,yocB,"general stress protein,survival of stress conditions",survival of stress conditions,unknown
BSU_25510,lepA,"elongation factor 4,GTP-binding protein",translation elongation,elongation factor 4
BSU_00510,prs,"phosphoribosylpyrophosphate synthetase,universally conserved protein",phosphoribosylpyrophosphate synthesis (biosynthesis of histidine),phosphoribosylpyrophosphate synthetase
BSU_27540,yrvM,"2-methylthio-N6-threonylcarbamoyladenosine cyclase,catalyzes ATP-dependent dehydration of 2-methylthio N6-threonylcarbamoyladenosine (t6A) to form  2-methylthio cyclic N6-threonylcarbamoyladenosine (ms2ct6A )",tRNA modification,2-methylthio-N6-threonylcarbamoyladenosine cyclase
BSU_02780,ycdA,"lipoprotein,required for swarming motility",swarming motility,lipoprotein
BSU_28680,glcD,"probably glycolate oxidase subunit,FAD-binding",unknown,probably glycolate oxidase subunit
BSU_08300,lnrK,"two-component response regulator,involved in resistance to linearmycin",resistance to linearmycin,two-component response regulator
BSU_37890,spsC,"aminotransferase,legionaminic acid synthesis",legionaminic acid synthesis,aminotransferase
BSU_27610,apt,"adenine phosphoribosyltransferase,universally conserved protein",purine salvage and interconversion,adenine phosphoribosyltransferase
BSU_15350,ylmB,"N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase,thiamine salvage pathway",thiamine salvage,N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase
BSU_14230,ahpT,"thiol disulfide oxidoreductase,reduces [[protein|B283B702D917E310130BC33A40BF6A5853C3D4C1]]",protection of proteins against oxidative damage,thiol disulfide oxidoreductase
BSU_35160,uvrA,"excinuclease ABC (subunit A),required for transcription-dependent asymmetry in mutation rates of genes in the two orientations",DNA repair after UV damage,excinuclease ABC (subunit A)
BSU_05790,ydhK,"general stress protein,survival of ethanol and paraquat stresses",survival of stress conditions,unknown
BSU_26250,yqaN,"unknown,skin element",unknown,unknown
BSU_12320,yjmC,"similar to ureidoglycolate dehydrogenase,may be involved in galacturonate utilization",unknown,unknown
BSU_17380,nrdE,"ribonucleoside-diphosphate reductase (alpha subunit),control of DNA/cell mass ratio",synthesis of deoxyribonucleoside triphosphates,ribonucleoside-diphosphate reductase (alpha subunit)
BSU_06180,pspA,"phage shock protein A homolog,protects the membrane against membrane-targeting antibiotics",protection of the membrane,phage shock protein A homolog
BSU_05740,phoB,"alkaline phosphatase III,heptaprenylglyceryl phosphate processing phosphatase",aquisition of phosphate upon phosphate starvation,ether lipid synthesis
BSU_39940,yxaL,"similar to Ser/Thr kinase,increases the processivity of the [[protein|C73E52D214E24F21696973B19B0A44CE785D6FBA]] helicase",unknown,unknown
BSU_38280,efeU,"elemental iron uptake system (permease),high affinity uptake of ferric iron (Fe(III))",elemental iron uptake,elemental iron uptake system (permease)
BSU_30770,mntA,"manganese [wiki|ABC transporter] (binding protein,lipoprotein)",manganese uptake,manganese [wiki|ABC transporter] (binding protein)
BSU_40574,yyzJ,"unknown,putative pseudogene",unknown,unknown
BSU_32070,yuiC,"stationary phase survival protein,sporulation protein",unknown,stationary phase survival protein
BSU_01550,gerD,"scaffold of the germinosome,required for clustering of germinant receptors in the spore inner membrane",germination,lipoprotein
BSU_11540,pepF,"oligoendopeptidase,inhibits sporulation upon overexpression",protein degradation,oligoendopeptidase
BSU_22210,mrfB,"metal-dependent exonuclease,part of a novel nucleotide excision repair pathway",mitomycin C-specific DNA damage repair,metal-dependent exonuclease
BSU_37740,bacA,"bacilysin biosynthesis protein,prephenate decarboxylase",biosynthesis of the antibiotic bacilysin,anticapsin biosynthesis protein
BSU_33780,sdpI,"immunity protein,protection against SdpC",protection against SdpC,immunity protein
BSU_31890,essB,"membrane pseudokinase-like protein,part of the type VII protein secretion system [[protein|3CC3E197848E9688413C15CEA7DDCF0A7120A920]]-[[protein|3FE4A91C7D0B43C8704391F2F9493852B3AED9B0]]-[[protein|6007664F3D979B4D8D4662C7F6E5CF2F489268E3]]-[[protein|0A38B2E900532C9950DE6E629F5EB21D64E18B55]]-[[protein|DA52C4CD130F32734E01A52F2F395127D2260F61]]",export of [[protein|50D2A03E2D7B5D461540FD157377E0D37F771888]],membrane pseudokinase-like protein
BSU_00520,ctc,"general stress protein,non-essential ribosomal protein BL25",[wiki|translation] (under stress conditions),ribosomal protein BL25
BSU_30120,yteR,"galacturonyl hydrolase,catalyses intracellular degradation of disaccharides generated by [[protein|217BAA94FB926CDA7CA8800BC6B08371792CEE31]]",intracellular degradation of disaccharides generated by [[protein|217BAA94FB926CDA7CA8800BC6B08371792CEE31]],galacturonyl hydrolase
BSU_11330,fabHA,"beta-ketoacyl-acyl carrier protein synthase III,principal condensing enzyme responsible for the initiation of fatty acid synthesis in non-stressed B. subtilis cells",fatty acid biosynthesis,beta-ketoacyl-acyl carrier protein synthase III
BSU_07710,ltaS,"major polyglycerolphosphate lipoteichoic acid synthase,required for proper colony development",biosynthesis of lipoteichoic acid,major lipoteichoic acid synthase
BSU_11010,yitJ,"bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase",methionine biosynthesis,tetrahydrofolate interconversion
BSU_10270,lcfB,"long-chain fatty-acid-CoA ligase,involved in surfactin production",fatty acid degradation,long-chain fatty-acid-CoA ligase
BSU_27370,mltG,"lytic tranglycosylases,potential terminase for peptidoglycan polymerization",determination of peptidoglycan chain length,lytic tranglycosylases
BSU_16270,fliK,"flagellar hook-length control,substrate specificity switch regulator",movement and chemotaxis,flagellar hook-length control
BSU_40578,yyzK,"unknown,putative pseudogene",unknown,unknown
BSU_03440,tlpC,"membrane-bound chemotaxis receptor,methyl-accepting chemotaxis protein",control of chemotaxis,methyl-accepting chemotaxis protein
BSU_06036,ydzT/3,"putative integrase (fragment),internal part of YdzT",unknown,unknown
BSU_08425,mprF,"synthesis of lysylphosphatidylglycerol (L-PG),lysinylation of phosphatidylglycerol provides some resistance against positively charged antimicrobial peptides",lysyl-phosphatidylglycerol lipid biosynthesis,lysyl-phosphatidylglycerol synthase
BSU_19490,gerT,"spore coat protein,involved in germination",germination,spore coat protein
BSU_09500,yhdK,"anti-[[protein|081DF3EE9FA56209D648C7677188C61CE3AA8E41]] protein,required for the perception of  cell  wall  stress  signals",control of [[protein|081DF3EE9FA56209D648C7677188C61CE3AA8E41]] activity,anti-[[protein|081DF3EE9FA56209D648C7677188C61CE3AA8E41]] protein
BSU_23850,zwf,"glucose 6-phosphate dehydrogenase,pentose-phosphate pathway",initiation of the pentose phosphate pathway,glucose 6-phosphate dehydrogenase
BSU_05820,gmuA,"glucomannan-specific permease of the [wiki|phosphotransferase systems|phosphotransferase system],EIIA of the [[category|SW.1.2.2|PTS]]",glucomannan uptake and phosphorylation,glucomannan-specific lichenan-specific [[category|SW.1.2.2|PTS]]
BSU_06038,ydzT/5,"putative integrase (fragment),N-terminal part of YdzT",unknown,unknown
BSU_18450,gltA,"large subunit of glutamate synthase,controls [[protein|C36C8C9EEDCAD392D9BEC9728A1E0CBFF2F4E790]] activity",glutamate biosynthesis and control of glutamate degradation,glutamate synthase (large subunit)
BSU_03350,yciB,"putative L,D-transpeptidase",unknown,putative L
BSU_10900,yisY,"spore coat protein,similar to chloride peroxidase",protection of the spore,spore coat protein
BSU_06077,ydzW/4,"putative phosphomannomutase,internal part of YdzW",unknown,unknown
BSU_35470,comFA,"membrane-associated DNA-dependent ATPase,may provide energy for DNA transport",genetic competence,ATP-binding protein
BSU_06079,ydzW/6,"putative phosphomannomutase,internal part of YdzW",unknown,unknown
BSU_34700,psdA,"[wiki|ABC transporter] (ATP-binding protein) for the export of lipid II-binding lantibiotics,such as nisin and gallidermin",export of toxic peptides,[wiki|ABC transporter] (ATP-binding protein)
BSU_36380,rapD,"response regulator aspartate phosphatase,controls [[protein|ComA ]]activity",control of [[protein|7832489F11F606BCF637EC23BAAB41AD10237EBB]]-dependent gene expression,response regulator aspartate phosphatase
BSU_19820,sprB,"recombination directionality factor,excision of [wiki|SP-beta prophage]",excision of [wiki|SP-beta prophage],recombination directionality factor for the excision of the [wiki|SP-beta prophage]
BSU_39990,qdoR,"transcriptional regulator ([wiki|TetR family]),control of [[gene|6A68EF7BF16FC2F2C7E068F52901EF2BFD6EBF8A]]-[[gene|142444E1167BA7428EB95E4418C839ADF3E728B0]] and [[gene|52D560AA02F0849CB24460A496021560063B2E12]]-[[gene|23483430AE0381406EF2349A18CFAE1F14F9B180]]",control of quercetin utilization,transcriptional regulator
BSU_00670,tilS,"trigger enzyme,tRNA<sup>Ile</sup>-lysidine synthetase (modifies C34 at the wobble position of tRNA2<sup>Ile</sup> to lysidine) and part of a transcription activator",tRNA modification,control of [[gene|4E7B9426CED372AA8A321A147116A3A589FBF20C]] expression
BSU_11770,cotW,"spore crust protein (insoluble fraction),formation of the spore crust",resistance of the spore,spore crust protein (insoluble fraction)
BSU_36720,ywmE,"general stress protein,survival of ethanol  stress",survival of ethanol  stress,unknown
BSU_13010,ykgB,"6-phosphogluconolactonase,general stress protein",pentose phosphate pathway,6-phosphogluconolactonase
BSU_36820,atpG,"ATP synthase,part of the F1 complex (subunit gamma)",ATP synthesis,ATP synthase (subunit gamma)
BSU_23140,resB,"part of haem translocase,required for cytochrome c synthesis",cytochrome c biogenesis,part of the [[protein|495721E4B8BF6FEC01E62E86339560F90776EED1]]-[[protein|97FE84CF968596AC39D19EE2E43DA625147FD702]] haem translocase
BSU_33080,liaR,"two-component response regulator,regulation of the [[gene|B6D1159454969D1D578E05D5CE2259E079688510]]-[[gene|AE4BF12C368468C553EED7A696D5EFC63F56CA39]]-[[gene|A71B0392FFF70EFFC096E7E9BD5FE30792821CDD]]-[[gene|C107A958DFA2B0DA4837E2F9F648CD329A3116AC]]-[[gene|9A1871BD853254EEA8B4E78CA187F9315CBDF43D]]-[[gene|liaR ]]operon in response to bacitracin",regulation of the [[gene|B6D1159454969D1D578E05D5CE2259E079688510]]-[[gene|AE4BF12C368468C553EED7A696D5EFC63F56CA39]]-[[gene|A71B0392FFF70EFFC096E7E9BD5FE30792821CDD]]-[[gene|C107A958DFA2B0DA4837E2F9F648CD329A3116AC]]-[[gene|9A1871BD853254EEA8B4E78CA187F9315CBDF43D]]-[[gene|liaR ]]operon,two-component response regulator
BSU_02600,cwlJ,"spore coat protein,cell wall hydrolase",spore germination,spore coat protein
BSU_31270,tgl,"outer spore coat protein,spore associated transglutaminase",introduction of crosslinks in the spore coat proteins [[protein|1CA990DA55B6F879968C431A703E0478F5564A1A]] and [[protein|CEBEC9CECCF445C40D793E61A2CD23175631A473]],spore associated transglutaminase
BSU_32250,thrC,"threonine synthase,has a minor threonine dehydratase ([[protein|D0CF32BF81AA1DC7BBBC3E9B667A54F97260DF3F]]) activity",biosynthesis of threonine,threonine synthase
BSU_35609,tuaA/1,"lipid carrier sugar transferase,disrupted pseudogene in B. subtilis 168",biosynthesis of teichuronic acid,lipid carrier sugar transferase
BSU_04860,ydcQ,"coupling protein,part of the type IV secretion system for DNA transfer",conjugative transfer of ICEBs1,coupling protein
BSU_33740,yvaV,"unknown,similar to transcription factor [[protein|9F32E96AC9C32832C2F10FB125DDDC50EC9B546B]]",unknown,unknown
BSU_37700,bacE,"efflux protein for bacilysin excretion,self-protection against bacilysin",self-protection to bacilysin,efflux protein for bacilysin excretion
BSU_32540,yurI,"ribonuclease,extracellular RNase Bsn",extracellular RNA degradation,extracellular RNase Bsn
BSU_03500,comS,"antiadaptor protein,assembly link between regulatory components of the competence signal transduction pathway",control of ComK degradation,antiadaptor protein (anti-MecA)
BSU_16230,fliH,"flagellar assembly protein,negative regulator of the FliI ATPase",movement and chemotaxis,flagellar assembly protein
BSU_40450,yycD,"general stress protein,survival of ethanol  stress",survival of ethanol  stress,unknown
BSU_33450,helD,"DNA 3-5 helicase IV,removes and recycles stalled [wiki|transcription] complexes",[wiki|transcription],ATP-dependent [wiki|transcription] recycling factor
BSU_02350,gamP,"glucosamine-specific permease of the [wiki|phosphotransferase systems|phosphotransferase system],EIICBA of the [[category|SW.1.2.2|PTS]]",glucosamine uptake and phosphorylation,glucosamine-specific [[category|SW.1.2.2|PTS]]
BSU_09530,yhdN,"general stress protein,broad specificity aldo-keto reductase that converts MG to acetol",detoxification of methylglyoxal,aldo/keto reductase
BSU_03900,gabT,"gamma-aminobutyrate transaminase,general stress protein",utilization of gamma-amino butyric acid,gamma-aminobutyrate transaminase
BSU_28830,ysdB,"control of [[protein|SigW ]]activity,survival of heat  stress",survival of heat  stress,unknown
BSU_02450,glnL,"two-component response regulator,regulation of the glsA-glnT operon",regulation of the glsA-glnT operon,two-component response regulator
BSU_33020,cssS,"two-component sensor kinase,control of cellular responses to protein secretion stress",control of cellular responses to protein secretion stress,two-component sensor kinase
BSU_37050,maeA,"malic enzyme,required for malate dependent catabolite repression of the [[gene|6F21B5E9EEF67E96808A1DEFA3A80DA2A0FF9462]]-[[gene|F6C3B267106E7510FABECF0B13ABF222901689A9]] operon",malate utilization,"NAD-dependent malate dehydrogenase"
BSU_28940,serB,"phosphoserine phosphatase,catalyzes the last step in serine biosynthesis",biosynthesis of serine,phosphoserine phoshatase
BSU_10360,yhfT,"similar to long-chain fatty-acid-CoA ligase,involved in surfactin production",unknown,unknown
BSU_08920,yhbB,"spore coat protein,amidase",unknown,amidase
BSU_31910,yukE,"secreted protein of the WXG100 superfamily,homolog of virulence factor EsxA",secretion and delivery of [wiki|LXG domain] toxins,[wiki|LXG domain] toxin delivery factor
BSU_12810,xlyA,"N-acetylmuramoyl-L-alanine amidase,required for the formation of membrane vesicles in a sub-population of cells",PBSX prophage-mediated lysis,N-acetylmuramoyl-L-alanine amidase
BSU_09640,yhdY,"mechanosensitive channel,similar to MscS",resistance to osmotic downshock,mechanosensitive channel
BSU_01630,feuA,"[wiki|ABC transporter] for the siderophores Fe-enterobactin and Fe-bacillibactin (binding protein),with [[protein|5C52DB31F378E49AABE5D937DD901A68F3810477]] as ATPase",[wiki|acquisition of iron],[wiki|ABC transporter] for the siderophores Fe-enterobactin and Fe-bacillibactin (binding protein) [pubmed|28283524]
BSU_08790,thiC,"4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate (HMP-P) synthase,biosynthesis of the pyrimidine moiety of thiamine",biosynthesis of thiamine,4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate (HMP-P) synthase
BSU_08440,yfiY,"[wiki|ABC transporter  for the siderophore schizokinen and arthrobactin (binding protein),works with  ATPase [[protein|5C52DB31F378E49AABE5D937DD901A68F3810477]]",[wiki|acquisition of iron],[wiki|ABC transporter] for the siderophore schizokinen and arthrobactin (binding protein)
BSU_37100,murAB,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase,required for efficient spore engulfment",peptidoglycan precursor biosynthesis,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
BSU_34280,epsJ,"UDP-N-acetyl-glucosamine transferase,synthesis of extracellular poly-N-acetylglucosamine",synthesis of extracellular poly-N-acetylglucosamine,UDP-N-acetyl-glucosamine transferase
BSU_34220,epsO,"similar to pyruvyltransferase,extracellular polysaccharide synthesis",biofilm formation,unknown
BSU_30980,glgB,"1,4-alpha-glucan branching enzyme",glycogen biosynthesis,1
BSU_02680,lmrA,"transcriptional regulator ([wiki|TetR family]),control of [[gene|6A68EF7BF16FC2F2C7E068F52901EF2BFD6EBF8A]]-[[gene|yxaH ]]and [[gene|52D560AA02F0849CB24460A496021560063B2E12]]-[[gene|23483430AE0381406EF2349A18CFAE1F14F9B180]]",regulation of lincomycin resistance,transcriptional regulator
BSU_29890,ytnP,"lactonase-homolog protein,inhibits the signalling pathway required for the streptomycin production and development of aerial mycelium in Streptomyces griseus",defense against competing bacteria,lactonase-homolog protein
BSU_10220,gltT,"major high-affinity Na<sup>+</sup>-coupled glutamate/ aspartate symport protein,uptake of glyphosate",glutamate and aspartate uptake,major Na<sup>+</sup>-coupled glutamate/ aspartate symport protein
BSU_34100,rsbQ,"alpha/beta hydrolase,required for [[protein|9284E58A2D5394A31658E70879874A1338CF531B]] activation",control of [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] activity,alpha/beta hydrolase
BSU_01360,secY,"preprotein translocase subunit,universally conserved protein",protein secretion,preprotein translocase subunit
BSU_26055,bsrH,"new RNA feature,independent transcript",NA,independent transcript
BSU_10680,gerPE,"spore germination protein,facilitates access of nutrient germinants to their cognate germinant receptors in spores inner membrane",germination,unknown
BSU_14560,defB,"N-formylcysteine deformylase,required for the conversion of S-methyl-cysteine to cysteine",utilization of S-methyl-cysteine,N-formylcysteine deformylase
BSU_28920,lytT,"two-component response regulator,control of pyruvate utilization",control of pyruvate utilization,two-component response regulator
BSU_24370,spoIIIAG,"component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane,required for [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] activation",activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]],component of a type III secretion system
BSU_00720,yacD,"putative peptidyl-prolyl <i>cis-trans </i>isomerase,similar to secretion protein [[protein|6EE13E61A218A6D52BAC83A1145B0B96961CE289]]",unknown,unknown
BSU_11490,yjbC,"general stress protein,required for survival of salt and paraquat stresses",survival of paraquat stress,unknown
BSU_18150,xynC,"endo-xylanase,preference for methylglucurono-xylan",xylan degradation,endo-xylanase
BSU_13299,ykzO,"unknown,putative pseudogene",unknown,unknown
BSU_37790,rocG,"trigger enzyme,glutamate dehydrogenase and effector protein for [[protein|87BCAE725B02860156D50E1783F6DB68510C811E]]",arginine utilization,controls the activity of [[protein|87BCAE725B02860156D50E1783F6DB68510C811E]]
BSU_11100,nprB,"extracellular neutral protease B,required for the function of the [[protein|330CB6A25181F7AFD3C63F73CA21A3428882D100]] toxin",protection of <i>B. subtilis</i> biofilms against competitors,extracellular neutral protease B
BSU_24400,spoIIIAD,"component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane,required for [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] activation",activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]],component of a type III secretion system
BSU_34610,mdxE,"maltodextrin [wiki|ABC transporter],binding protein",maltodextrin utilization,maltodextrin [wiki|ABC transporter]
BSU_35610,tuaA/2,"lipid carrier sugar transferase,disrupted pseudogene in <i>B. subtilis</i> 168",biosynthesis of teichuronic acid,lipid carrier sugar transferase
BSU_35680,ggaB,"galactosamine-containing minor teichoic acid biosynthesis,membrane protein",biosynthesis of teichoic acid,unknown
BSU_01950,skfE,"[wiki|ABC transporter] (binding protein),export of the spore killing factor",export of the spore killing factor [[protein|DDB0022F50999AC52809D651C9CC5A5FDC71302C]],[wiki|ABC transporter] (binding protein)
BSU_32350,fisB,"membrane fission protein,mediates membrane fission during sporulation",release of the forespore into the mother cell cytoplasm,membrane fission protein
BSU_16550,ispC,"1-deoxy-D-xylulose-5-phosphate reductoisomerase,second step in the MEP pathway of isoprenoid biosynthesis",MEP pathway of isoprenoid biosynthesis,1-deoxy-D-xylulose-5-phosphate reductoisomerase
BSU_41050,rnpA,"protein component of RNase P,metal-dependent 5 end maturation of precursor tRNAs",cleavage of precursor sequences from the 5 ends of pre-tRNAs,protein component of RNase P (substrate specificity)
BSU_02620,phoD,"phosphodiesterase/alkaline phosphatase,degrades wall teichoic acid during phosphate starvation",aquisition of phosphate upon phosphoate starvation,degradation of wall teichoic acid during phosphate starvation
BSU_32670,sufB,"FeS scaffold,synthesis of Fe-S-clusters",synthesis of iron-sulfur clusters,FeS scaffold
BSU_10040,ecsA,"[wiki|ABC transporter] (ATP-binding protein),mutation affects proteolysis by [[protein|CB50289535EA537F63BADD459BD11AA7759A6658]] (no processing of [[protein|4E720917045032E8B45CB8AF6E5C13AE0E48EE33]] and [[protein|79712F4CF884A660C71B45B3397AEFA5C0AFA683]])",regulation of the secretion apparatus and of intra-membrane proteolysis,[wiki|ABC transporter] (ATP-binding protein)
BSU_12490,yjqC,"spore coat protein,similar to manganese-containing catalase",protection of the spore,spore coat protein
BSU_31690,comP,"two-component sensor kinase,detects extracellular [[protein|60D6EB02923D9ADE88F61A8CBBD882BA8BDD457E]]",regulation of genetic competence and quorum sensing,two-component sensor kinase
BSU_12300,uxaC,"glucuronate isomerase (D-glucuronate,D-galacturonate)",hexuronate utilization,glucuronate isomerase (D-glucuronate
BSU_07940,yfkC,"mechanosensitive channel,similar to MscS",resistance to osmotic downshock,mechanosensitive channel
BSU_33690,yvaQ,"membrane-bound chemotaxis receptor,similar to methyl-accepting chemotaxis protein",control of chemotaxis,membrane-bound chemotaxis receptor
BSU_38110,nfrA,"[[protein|2C6386E9A63F410558D168798D077DF91590F454]]-dependent FMN-containing NADPH-linked nitro/flavin reductase,stress protein",unknown,FMN-containing NADPH-linked nitro/flavin reductase
BSU_04140,pbpC,"transpeptidase,penicillin-binding protein 3",unknown,class B penicillin-binding protein 3
BSU_33490,cadA,"cadmium transporting ATPase,resistance to cadmium",cadmium export,cadmium transporting ATPase
BSU_32940,yusV,"[wiki|ABC transporter] for the siderophores Fe-enterobactin and Fe-bacillibactin,as well as for the siderophores schizokinen and arthrobactin (ATPase)",acquisition of iron,[wiki|ABC transporter] for the siderophores Fe-enterobactin
BSU_31650,mrpF,"Na<sup>+</sup>/H<sup>+</sup> antiporter subunit,multiple resistance and pH homeostasis",sodium export,Na<sup>+</sup>/H<sup>+</sup> antiporter subunit
BSU_24410,spoIIIAC,"component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane,required for [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] activation",activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]],component of a type III secretion system
BSU_40440,dnaC,"replicative DNA helicase,part of the [wiki|replisome]",[[category|SW.3.1.1]],replicative DNA helicase
BSU_11340,fabF,"beta-ketoacyl-acyl carrier protein synthase II,involved in the control of membrane fluidity",fatty acid biosynthesis,beta-ketoacyl-acyl carrier protein synthase II
BSU_15210,spoVE,"SEDS family peptidoglycan glycosyltransferase,required for spore cortex peptidoglycan synthesis",spore cortex peptidoglycan synthesis,SEDS family peptidoglycan glycosyltransferase
BSU_17240,ymzB,"general stress protein,survival of ethanol and salt stresses",survival of ethanol and salt stresses,unknown
BSU_26300,yqaI,"unknown,skin element",unknown,unknown
BSU_19590,ctpA,"carboxy-terminal processing protease,promotes DNA damage checkpoint recovery",unknown,carboxy-terminal processing protease
BSU_39770,iolR,"transcriptional repressor of the iol operon,[wiki|DeoR family]",regulation of myo-inositol catabolism,transcriptional repressor
BSU_18250,yngI,"aceto-acetyl-CoA ligase,may be involved in surfactin production",mother cell metabolism,leucine utilization
BSU_13750,queF,"nitrile reductase (NADPH-dependent 7-cyano-7-deazaguanine reductase),synthesis of the modified ribonucleotide queuosine",tRNA modification,nitrile reductase
BSU_24430,spoIIIAA,"AAA protease,required for [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] activation",activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]],AAA protease
BSU_31875,yukB,"membrane [[protein|FtsK]]/[[protein|125325B485FBC60798EDA4B4BFB24C6FCBC4C513]]-like ATPase,part of the type VII protein secretion system [[protein|3CC3E197848E9688413C15CEA7DDCF0A7120A920]]-[[protein|3FE4A91C7D0B43C8704391F2F9493852B3AED9B0]]-[[protein|6007664F3D979B4D8D4662C7F6E5CF2F489268E3]]-[[protein|0A38B2E900532C9950DE6E629F5EB21D64E18B55]]-[[protein|DA52C4CD130F32734E01A52F2F395127D2260F61]]",export of [[protein|50D2A03E2D7B5D461540FD157377E0D37F771888]],membrane [[protein|FtsK]]/[[protein|125325B485FBC60798EDA4B4BFB24C6FCBC4C513]]-like ATPase
BSU_22470,bshB1,"N-acetylglucosamine-malate deacetylase,involved in bacillithiol synthesis (major enzyme)",biosynthesis of bacillithiol,N-acetylglucosamine-malate deacetylase
BSU_12100,pdaC,"peptidoglycan deacetylase C,confers lysozyme resistance to modified cell wall peptidoglycans",cell wall modification,polysaccharide deacetylase C
BSU_16910,rodZ,"required for proper septum positioning during vegetative growth ([wiki|cell shape] determination),part of the [[protein|Rod complex]] for lateral [wiki|cell wall synthesis] and control of cell diameter",septum positioning during vegetative growth,morphogenic protein
BSU_04330,mutT,"antimutator protein,has RNA pyrophosphohydrolase activity",DNA repair,protection against oxidative stress
BSU_06034,ydzT/2,"putative integrase (fragment),internal part of YdzT",unknown,unknown
BSU_31700,comX,"competence pheromone precursor,transfers cell density signal to [[protein|5A00E233F0B5A0DAB18D2ECC55527F1911987F86]]; triggers the production of surfactin",[[category|SW.3.4.8]],competence pheromone precursor
