locus,name,description,function,product,names,outlinks.uniprot,outlinks.subtilist
new_2264353_2265142_c,S807,"new RNA feature, 3'UTR of bdbB
",,3'UTR of bdbB,S807,,
BSU_06660,opuE,proline transporter,compatible solute transport,proline transporter,opuE;yerK,O06493,gene_detail BG12641
BSU_35620,lytC,"N-acetylmuramoyl-L-alanine amidase, required for flagellar function","major autolysin, cell separation, wall turnover",N-acetylmuramoyl-L-alanine amidase,lytC;cwlB,Q02114,gene_detail BG10407
new_258887_259015,S92,"new RNA feature, 5'UTR of ybgE
",,5'UTR of ybgE,S92,,
BSU_misc_RNA_78,fswB,annotated in RefSeq,,,,,
BSU_13250,ykoG,two-component response regulator ([SW|OmpR family]),unknown,two-component response regulator ([SW|OmpR family]),ykoG,O34903,gene_detail+BG13252
BSU_24770,mgsR,"transcriptional regulator of a subset of the [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] general stress regulon, required for protection against oxidative stress",controls a subset of general stress genes,transcriptional regulator,mgsR;yqgZ,P54503,gene_detail+BG11693
BSU_16930,cinA,plays a nucleoid-associated general role in cells entering stationary phase,unknown,unknown,cinA;ymfO;yzlB,P46323,gene_detail+BG11374
BSU_10880,yisV,similar to transcriptional regulator ([SW|MocR/ GabR family]),unknown,unknown,yisV;yisW,Q796Q6,gene_detail+BG13101
new_3918262_3918330_c,S1471,"new RNA feature, 5'UTR of qoxA
",,5'UTR of qoxA,S1471,,
BSU_39980,qdoI,"Fe-containing quercetin 2,3-dioxygenase",resistance to plant product quercetin,"Fe-containing quercetin 2,3-dioxygenase",qdoI;yxaG,P42106,gene_detail BG11109
BSU_35380,fliW,"checkpoint protein for [[gene|E0BB77C8F1220E931D16A1FA6B75AE8907C76FDB]] expression, [[protein|93F328524989597C7D2329B25E665496C9631E87]] antagonist",control of [[protein|93F328524989597C7D2329B25E665496C9631E87]] activity,"flagellar assembly factor, [[protein|93F328524989597C7D2329B25E665496C9631E87]] antagonist",fliW;yviF,P96503,gene_detail BG12451
BSU_08750,ygxA,unknown,unknown,unknown,ygxA,Q04385,gene_detail+BG10951
BSU_tRNA_78,trnSL-Val1,,translation,transfer RNA-Val,trnSL-Val1,,gene_detail+BG00112
BSU_14860,pycA,pyruvate carboxylase,replenishment of the oxaloacetate pool,pyruvate carboxylase,pycA;ylaP,Q9KWU4,gene_detail BG12660
BSU_misc_RNA_67,roxS,"small RNA, controls expression of [[gene|B729EFC0BF0D75765C2D2B0B4F397E0AEE11F1E7]], [[gene|D72175937B3956C2BC500FC00CEC8EC57A0A76A8]]-[[gene|5900CAC1CE367F33B267673A7FC210A3A269B30E]], and [[gene|yflS ]]","control of [[gene|B729EFC0BF0D75765C2D2B0B4F397E0AEE11F1E7]], [[gene|D72175937B3956C2BC500FC00CEC8EC57A0A76A8]]-[[gene|5900CAC1CE367F33B267673A7FC210A3A269B30E]], and [[gene|yflS ]]expression",trans-acting regulatory RNA,roxS;rsaE,,
BSU_26558,yrzM,"unknown, putative pseudogene",unknown,unknown,yrzM,,
BSU_25430,yqeV,tRNA methylthiotransferase,tRNA maturation,tRNA methylthiotransferase,mtaB;yqeV,P54462,gene_detail BG11646
BSU_15670,remA,"transcriptional regulator of the extracellular matrix genes, acts in parallel to SinR, AbrB, and DegU",control of biofilm formation,regulator of the extracellular matrix genes,remA;ylzA,Q7WY72,gene_detail+BG14185
new_3297962_3298076,S1233,"new RNA feature, 5'UTR of yuiD
",,5'UTR of yuiD,S1233,,
new_4089418_4089968,S1530,"new RNA feature, 3'UTR of csbC
",,3'UTR of csbC,S1530,,
BSU_36270,ywqB,unknown,unknown,unknown,ywqB,P96714,gene_detail+BG12506
BSU_23170,spmB,spore maturation protein (spore core dehydratation),germination,spore maturation protein (spore core dehydratation),spmB;ypuK,P35158,gene_detail+BG10529
BSU_05310,ydeR,similar to antibiotic resistance protein,unknown,unknown,ydeR,P96675,gene_detail+BG12145
new_1457005_1457156,S505,"new RNA feature, intergenic region
",,intergenic region,S505,,
BSU_21450,yolJ,phage-derived sublancin S-glycosyltransferase,biosynthesis of the antimicrobial peptide sublancin,sublancin S-glycosyltransferase,sunS;yolJ,O31986,gene_detail BG13586
BSU_19170,yocD,similar to immunity to bacteriotoxins,unknown,unknown,yocD,O35046,gene_detail+BG13517
BSU_40640,yybH,unknown,unknown,unknown,yybH,P37496,gene_detail+BG10023
BSU_16430,cheA,"two-component sensor kinase, chemotactic signal modulator",chemotactic signal modulator,two-component sensor kinase,cheA;cheN,P29072,gene_detail+BG10256
new_1430625_1430683,S490,"new RNA feature, 5'UTR of spo0E
",,5'UTR of spo0E,S490,,
BSU_tRNA_26,trnI-Arg,,translation,transfer RNA-Arg,trnI-Arg,,gene_detail+BG00041
BSU_02860,znuC,high-affinity [SW|ABC transporter] for zinc (ATP-binding protein),zinc uptake,[SW|ABC transporter] for zinc (ATP-binding protein),znuC;ycdI;adcC,O34946,gene_detail BG12764
BSU_35870,capE,"stimulates poly-gamma-glutamate production in the presence of zinc, also involved in extra-chromosomal DNA maintenance",capsule synthesis,unknown,capE;ywtC;pgsE;edmS,P96739,gene_detail+BG12534
BSU_13380,ykoS,unknown,unknown,unknown,ykoS;ykoR,O34830,gene_detail BG13262
new_2408773_2409563,S872,"new RNA feature, 5'UTR of fer
",,5'UTR of fer,S872,,
BSU_20110,yosI,unknown,unknown,unknown,yosI,O31880,gene_detail+BG13718
BSU_26110,yqbH,similar to phage-related protein,unknown,unknown,yqbH,P45924,gene_detail+BG11279
BSU_06260,ydjN,unknown,unknown,unknown,ydjN,O34353,gene_detail+BG12804
BSU_34530,cotR,"outer spore coat protein, lipolytic enzyme",hydrolysis of lysophospholipids,outer spore coat lipolytic enzyme,cotR;yvdO,O06996,gene_detail+BG12423
BSU_18500,yoxD,similar to 3-oxoacyl- acyl-carrier protein reductase,unknown,unknown,yoxD,P14802,gene_detail+BG11048
BSU_05343,ydzS/1,part of the ydzS pseudogene,unknown,unknown,ydzS/1,,
BSU_22040,bpsB,"methyltransferase, involved in polyketide synthesis",polyketide synthesis,methyltransferase,bpsB;ypbQ,P54158,gene_detail+BG11603
BSU_14710,ylaA,unknown,unknown,unknown,ylaA,O07625,gene_detail+BG13338
BSU_39090,yxiP,unknown,unknown,unknown,yxiP,P42307,gene_detail+BG11145
BSU_03180,cah,cephalosporin C deacetylase,resistance to cephalosporin C,cephalosporin C deacetylase),cah,P94388,gene_detail+BG11919
new_2966794_2966948_c,S1093,"new RNA feature, 5'UTR of speD
",,5'UTR of speD,S1093,,
new_3856732_3856994_c,S1455,"new RNA feature, independent transcript
",,independent transcript,S1455,,
BSU_17130,acpK,acyl carrier protein,polyketide biosynthesis,acyl carrier protein,acpK,Q7PC63,gene_detail+BG14186
BSU_misc_RNA_4,ldlM,annotated in RefSeq,,,,,
new_1399409_1400187,S477,"new RNA feature, 5'UTR of ykoP
",,5'UTR of ykoP,S477,,
new_1559218_1559308,S543,"new RNA feature, 5'UTR of ctaB
",,5'UTR of ctaB,S543,,
BSU_25340,phoH,phosphate starvation-induced protein,unkown,unknown,phoH;yqfE,P46343,gene_detail BG11337
BSU_17980,sspP,probable small acid-soluble spore protein (minor),protection of spore DNA,probable small acid-soluble spore protein (minor),sspP;cotL,P71032,gene_detail+BG11921
new_78940_79025,S39,"new RNA feature, intergenic region
",,intergenic region,S39,,
new_3379940_3380077_c,S1267,"new RNA feature, 5'UTR of yusV
",,5'UTR of yusV,S1267,,
new_2090455_2090524,S730,"new RNA feature, intergenic region
",,intergenic region,S730,,
new_2306683_2307712_c,S827,"new RNA feature, independent transcript
",,independent transcript,S827,,
BSU_18960,yozM,unknown,unknown,unknown,yozM,O31843,gene_detail+BG13760
new_1013861_1013971,S326,"new RNA feature, independent transcript
",,independent transcript,S326,,
new_4214667_4214752_c,S1580,"new RNA feature, intergenic region
",,intergenic region,S1580,,
BSU_12240,yjkA,similar to  amino acid ABC transporter (membrane protein),unknown,ABC transporter (membrane protein),yjkA,O34684,gene_detail+BG13198
BSU_40710,yybA,similar to transcriptional regulator ([SW|MarR family]),unknown,transcriptional regulator ([SW|MarR family]),yybA,P37503,gene_detail+BG10030
BSU_22240,ypqA,unknown,unknown,unknown,ypqA,P50836,gene_detail+BG11449
BSU_30340,ytvA,"blue light sensor, positive regulation of [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] activity under conditions of blue light",control of [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] activity,"blue light receptor, flavoprotein",ytvA,O34627,gene_detail BG13928
BSU_19050,yobQ,similar to transcription factor ([SW|AraC family]),unknown,unknown,yobQ,O34901,gene_detail+BG13508
BSU_19770,cgeC,maturation of the outermost layer of the spore,maturation of the outermost layer of the spore,unknown,cgeC;cgeBA,P42091,gene_detail+BG11195
new_3780034_3780161_c,S1421,"new RNA feature, intergenic region
",,intergenic region,S1421,,
BSU_14990,ylbF,"subunit of the regulatory iron-sulfur containing [[protein|EE52DFA35B935E551871D079A9BE877DB2001A3B]]-[[protein|6C9A092F38739A3759793EF8B496569CD02C2E3F]]-[[protein|EBD15C174A03B7FCDFFE4C5DB5D86E93F1B9CAC4]] complex, required for [[protein|872CCB5A49C9000BD95E4B0472556D5F60F7D7A4|RNase Y]] dependent maturation of polycistronic mRNAs, antagonist of biofilm repression by [[protein|5A6FBAE6553343092862CB79E150F934978C32A9]], control of the [SW|phosphorelay]","control of [[protein|872CCB5A49C9000BD95E4B0472556D5F60F7D7A4|RNase Y]] activity, see [SW|Targets of the Y complex]",subunit of the regulatory iron-sulfur containing [[protein|EE52DFA35B935E551871D079A9BE877DB2001A3B]]-[[protein|6C9A092F38739A3759793EF8B496569CD02C2E3F]]-[[protein|EBD15C174A03B7FCDFFE4C5DB5D86E93F1B9CAC4]] complex,ylbF;ricF,O34412,gene_detail BG13358
BSU_12820,spoIISB,disruption blocks sporulation after septum formation,sporulation,anti-toxin,spoIISB,O34800,gene_detail BG12678
BSU_05920,tsaB,required for threonyl carbamoyl adenosine (t6A) modification of tRNAs that pair with ANN codons in mRNA,tRNA modification,tRNA modification enzyme,tsaB;ydiC,O05516,gene_detail BG12200
new_2628535_2628605_c,S960,"new RNA feature, intergenic region
",,intergenic region,S960,,
BSU_21660,sprA,"DNA recombinase, serine-type integrase, [SW|SP-beta prophage] site-specific recombination factor A",excision of the [SW|SP-beta prophage],[SW|SP-beta prophage] site-specific recombination factor A,yokA,O32006,gene_detail+BG13568
BSU_12069,yjzH,unknown,unknown,unknown,yjzH,C0H3Z2,
BSU_27729,yrzS,unknown,unknown,unknown,yrzS,C0H463,
BSU_12080,ctaO,heme O synthase (minor enzyme),heme biosynthesis,heme O synthase (minor enzyme),ctaO;yjdK,O31652,gene_detail+BG13183
BSU_10090,yhgB,unknown,unknown,unknown,yhgB;yixB,P38048,gene_detail BG10426
new_2387674_2387835_c,S862,"new RNA feature, 5'UTR of spoIVA
",,5'UTR of spoIVA,S862,,
BSU_27450,glnM,glutamine [SW|ABC transporter] (membrane protein),glutamine uptake,glutamine [SW|ABC transporter] (membrane protein),glnM,O34671,gene_detail BG11487
BSU_15590,sat,sulfate adenylyltransferase,sulfate activation,sulfate adenylyltransferase,sat;ylnB,O34764,gene_detail BG13378
BSU_05320,ydeS,similar to transcriptional regulator ([SW|TetR family]),unknown,unknown,ydeS,P96676,gene_detail+BG12146
new_2281501_2281666,S813,"new RNA feature, 5'UTR of yokD
",,5'UTR of yokD,S813,,
BSU_36860,atpE,"ATP synthase, part of the Fo complex (subunit c)",ATP synthesis,ATP synthase (subunit c),atpE,P37815,gene_detail BG10816
BSU_10060,ecsC,unknown,unknown,unknown,ecsC;prsT; yhaB,P55341,gene_detail+BG11518
BSU_12360,exuT,"galacturonate transport in via proton symport, glucuronate transport in via proton symport",hexuronate uptake,hexuronate transporter,exuT;yjmG,O34456,gene_detail+BG13210
BSU_38900,yxjM,two-component sensor kinase,unknown,two-component sensor kinase ([SW|NarL family]),yxjM,P55183,gene_detail+BG11896
new_2586998_2587934_c,S938,"new RNA feature, intergenic region
",,intergenic region,S938,,
new_574025_574105_c,S184,"new RNA feature, intergenic region
",,intergenic region,S184,,
BSU_20670,yoqD,similar to phage-related DNA-binding protein anti-repressor,unknown,unknown,yoqD,O34449,gene_detail+BG13663
BSU_24800,yqgW,unknown,unknown,unknown,yqgW,P54500,gene_detail+BG11690
BSU_35030,nagR,transcriptional regulator ([SW|GntR family]),regulator of the [[gene|8F4D075C9B9EF995E361F9BA5E8B52F42059C422]]-[[gene|0C8D7EAC2656E989E45B5B7E42FAA6D258956B56]]-[[gene|6D36D6360FE1CBFF5F64B2A6D1406405D6C6F7D5]] operon,transcriptional regulator ([SW|GntR family]),nagR;yvoA,O34817,gene_detail BG14124
BSU_23360,ppiB,peptidyl-prolyl isomerase,protein folding,peptidyl-prolyl isomerase,ppiB;cypBS,P35137,gene_detail+BG10512
BSU_27180,yrhH,similar to methyltransferase,unknown,unknown,yrhH,O05400,gene_detail+BG12297
BSU_09930,yhaM,"RNase, 3 5 exoribonuclease",RNA degradation,RNase YhaM,yhaM,O07521,gene_detail BG12989
BSU_16760,dapG,aspartokinase I (alpha and beta subunits),biosynthesis of lysine and peptidoglycan,aspartokinase I (alpha and beta subunits),dapG;lssD,Q04795,gene_detail BG10784
BSU_26640,czcO,"similar to flavin-containing monooxygenase, facilitates cation  export via [[protein|7FB5BCC16D688465A820F436F657C49625257884]]",resistance to toxic metal ions,unknown,czcO;trkA;yrdP,O07085,gene_detail+BG11980
new_2385396_2385479_c,S860,"new RNA feature, intergenic region
",,intergenic region,S860,,
new_2562914_2563888,S927,"new RNA feature, 3'UTR of yqhB
",,3'UTR of yqhB,S927,,
BSU_19420,yojK,similar to macrolide glycosyltransferase,unknown,unknown,yojK,O31853,gene_detail BG13563
BSU_tRNA_35,trnD-Phe,,translation,transfer RNA-Phe,trnD-Phe,,gene_detail+BG00054
BSU_39620,yxeA,unknown,unknown,unknown,yxeA,P54940,gene_detail+BG11877
BSU_19060,yobR,unknown,unknown,unknown,yobR,O34376,gene_detail+BG13509
BSU_15470,pyrR,transcriptional antiterminator of the <i>pyr </i>operon,regulation of pyrimidine biosynthesis,transcriptional antiterminator with minor uracil phosphoribosyltransferase activity,pyrR,P39765,gene_detail BG10712
new_348596_348692,S118,"new RNA feature, intergenic region
",,intergenic region,S118,,
BSU_15020,ylbI,pantetheine-phosphate adenylyltransferase,lipopolysaccharide biosynthesis,pantetheine-phosphate adenylyltransferase,ylbI;coaD,O34797,gene_detail BG13361
new_2215272_2215459_c,S792,"new RNA feature, 3'UTR of yopA
",,3'UTR of yopA,S792,,
BSU_17689,BSU_17689,annotated in RefSeq,,,,,
BSU_misc_RNA_54,BSU_misc_RNA_54,,,,BSU_misc_RNA_54,,
BSU_05590,ydgD,unknown,unknown,unknown,ydgD,P96702,gene_detail+BG12171
BSU_12640,xkdJ,PBSX prophage,unknown,unknown,xkdJ,P54330,gene_detail BG11545
BSU_01880,ybcI,unknown,unknown,unknown,ybcI,O34380,gene_detail+BG12710
BSU_28660,sspI,"small acid-soluble spore protein (minor), SASP",protection of spore DNA,"small acid-soluble spore protein (minor), SASP",sspI;ysfA,P94537,gene_detail+BG12318
BSU_30360,yttA,unknown,unknown,unknown,yttA,Q795Q5,gene_detail+BG13924
BSU_35550,tuaG,sugar transferase,biosynthesis of teichuronic acid,sugar transferase,tuaG;yvhG,O32268,gene_detail+BG12694
BSU_34560,malL,alpha-glucosidase,starch and maltodextrin utilization,alpha-glucosidase,malL;yvdL,O06994,gene_detail+BG12421
BSU_21730,ypmS,unknown,unknown,unknown,ypmS,P54179,gene_detail+BG11623
BSU_14450,ampS,aminopeptidase,required for  biofilm formation,aminopeptidase,ampS,P39762,gene_detail+BG10986
BSU_28420,ysmA,similar to thioesterase,unknown,unknown,ysmA,P11469,gene_detail+BG10354
BSU_25890,yqxI,unknown secreted protein,unknown,unknown,yqxI;yqdE,P24812,gene_detail+BG10506
BSU_27830,coxA,spore cortex protein,resistance of the spore,spore cortex protein,coxA;yrbB,P94446,gene_detail+BG13782
new_4185817_4186091,S1571,"new RNA feature, 5'UTR of yyaQ
",,5'UTR of yyaQ,S1571,,
BSU_34290,epsI,"glycosyltransferase, synthesis of extracellular poly-N-acetylglucosamine",synthesis of extracellular poly-N-acetylglucosamine,glycosyltransferase,epsI;yveS,P71058,gene_detail+BG11867
BSU_36410,mbl,"cell shape-determining protein, forms filaments, the polymers control/restrict the mobility of the cell wall elongation enzyme complex, required for [[protein|4F9D70C4BB4FCA809BEAC341C3F8122FB7FD8872]] activity",[SW|cell shape] determination,[[protein|A4C8719E06F774A6EB4D79757CC79CF89E453A54]]-like protein,mbl,P39751,gene_detail BG10916
BSU_16350,fliP,"part of the flagellar type III export apparatus  (flagellar Type III secretion system), part of the CORE complex required for flagellum and nanotube assembly",flagellum and nanotube assembly,part of the type III CORE export apparatus,fliP,P35528,gene_detail BG10260
BSU_09950,prsA,"lipoprotein, post-translocational folding of exported proteins (post-translocation molecular chaperone)",protein folding,post-translocation molecular chaperone,prsA,P24327,gene_detail+BG10464
new_3033042_3033166,S1132,"new RNA feature, 5'UTR of ytsP
",,5'UTR of ytsP,S1132,,
new_551930_551999,S177,"new RNA feature, 3'UTR of lrpA
",,3'UTR of lrpA,S177,,
BSU_10000,yhaH,unknown,unknown,unknown,yhaH,O07516,gene_detail+BG12984
new_1783660_1783762,S616,"new RNA feature, 5'UTR of pksC
",,5'UTR of pksC,S616,,
BSU_35560,tuaF,biosynthesis of teichuronic acid,biosynthesis of teichuronic acid,unknown,tuaF;yvhF,O32269,gene_detail+BG12693
BSU_29970,ytkP,similar to cysteine synthase,unknown,unknown,ytkP,O34476,gene_detail+BG13872
BSU_32060,yuiD,unknown,unknown,unknown,yuiD,O32107,gene_detail+BG13969
BSU_26440,yrkO,unknown,unknown,unknown,yrkO,P54442,gene_detail+BG11781
BSU_28910,pftA,pyruvate transporter,uptake of pyruvate,pyruvate transporter,pftA;ysbA;lrgA,P94515,gene_detail BG12311
BSU_14040,ldt,"L,D-transpeptidase involved in cell wall synthesis",cell wall biosynthesis,"L,D-transpeptidase",ldt;ykuD,O34816,gene_detail BG13288
BSU_35420,yvyG,flagellar filament assembly protein,flagellar filament assembly,flagellar filament assembly protein,yvyG;flgN;yviC,P39808,gene_detail+BG10400
BSU_39610,yxeB,hydroxamate siderophore [SW|ABC transporter] (only ferrioxamine) (binding  protein),siderophore uptake,hydroxamate siderophore [SW|ABC transporter],yxeB,P54941,gene_detail+BG11878
BSU_36300,glcR,transcriptional repressor ([SW|DeoR family]) of the [[gene|6F5831A480B72D17B7B3F0BF7AF147603B65CA49]]-[[gene|AF9523D3AA3C032B70175BCFFED34E9A42ED01AF]] operon,unknown,transcriptional repressor ([SW|DeoR family]),glcR;ywpI,P94591,gene_detail+BG12503
BSU_30540,asnB,asparagine synthase (glutamine-hydrolysing),control of peptidoglycan hydrolysis,asparagine synthase (glutamine-hydrolysing)),asnB;asn,P54420,gene_detail BG11831
BSU_tRNA_62,trnB-Met3,,translation,transfer RNA-Met,trnB-Met3;trnB-Ile1,,gene_detail+BG00084
new_2406881_2407627,S871,"new RNA feature, independent transcript
",,independent transcript,S871,,
BSU_00120,pdxT,pyridoxal-5-phosphate synthase (glutaminase domain),pyridoxal-5-phosphate biosynthesis,pyridoxal-5-phosphate synthase (glutaminase domain),pdxT;yaaE,P37528,gene_detail BG10076
BSU_26390,sigKC,"[SW|RNA polymerase ][SW|sporulation]-specific [SW|sigma factor ](SigK) (3' part of the interrupted [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene), with [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]]",late mother cell-specific gene expression,[SW|RNA polymerase ][SW|sporulation]-specific [SW|sigma factor ](SigK) (3' part of the interrupted [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene),sigKC;spoIIIC,P12254,gene_detail+BG10919
BSU_19120,czrA,"transcriptional repressor ([SW|ArsR family]), [[gene|5BC6B02770E74FF6D453742832574A87BB2369B8]] and [[gene|7FB5BCC16D688465A820F436F657C49625257884]]",regulation of resistance against toxic metal cations,transcriptional repressor ([SW|ArsR family]),czrA;yozA,O31844,gene_detail+BG13748
BSU_31520,malK,"two-component sensor kinase, regulation of malate uptake",regulation of malate uptake,two-component sensor kinase,malK;yufL,O05250,gene_detail+BG12347
BSU_27320,greA,"transcription elongation factor, resolves stalled [SW|RNA polymerase] at promoter or promoter-proximal regions,",transcription elongation,transcription elongation factor,greA,P80240,gene_detail BG19019
BSU_31310,yugP,unknown,unknown,unknown,yugP,O05248,gene_detail+BG12370
BSU_25940,yqcD,similar to phage-related protein,unknown,unknown,yqcD,P45939,gene_detail+BG11295
new_3460206_3462957,S1290,"new RNA feature, independent transcript
",,independent transcript,S1290,,
BSU_20620,yoqI,unknown,unknown,unknown,yoqI,O34339,gene_detail+BG13668
new_2340291_2340801,S844,"new RNA feature, 5'UTR of recU
",,5'UTR of recU,S844,,
BSU_18420,yofA,transcriptional activator of [[gene|8AB7D225DBEE6BD695A4A8A2384D2C029B571C57]] at the onset of stationary phase,control of [[gene|8AB7D225DBEE6BD695A4A8A2384D2C029B571C57]] expression,transcriptional activator ([SW|LysR family]),yofA;ftsR,O34685,gene_detail+BG13552
new_1609165_1609275,S566,"new RNA feature, 5'UTR of ylmD
",,5'UTR of ylmD,S566,,
BSU_13870,ykvZ,similar to transcriptional regulator ([SW|LacI family]),unknown,transcriptional regulator ([SW|LacI family]),ykvZ,O31690,gene_detail+BG13327
BSU_17680,thyA,thymidylate synthase A,biosynthesis of thymidine nucleotides,thymidylate synthase A,thyA,P0CI79,gene_detail BG11190
BSU_16470,sigD,[SW|RNA polymerase] [SW|sigma factor] SigD,"regulation of flagella, motility, chemotaxis and autolysis",[SW|RNA polymerase] [SW|sigma factor] SigD,sigD;flaB,P10726,gene_detail BG10751
BSU_28130,hemB,porphobilinogen synthase,heme biosynthesis,porphobilinogen synthase,hemB,P30950,gene_detail BG10344
BSU_34660,yvdB,putative anion transporter,unknown,putative anion transporter,yvdB,O06984,gene_detail+BG12411
BSU_12880,ykcB,unknown,unknown,unknown,ykcB,O34575,gene_detail+BG13229
BSU_23616,mciZ,annotated in RefSeq,,,,,
BSU_24440,yqhV,unknown,unknown,unknown,yqhV,P49779,gene_detail BG11459
BSU_21540,yolA,unknown,unknown,unknown,yolA,O31994,gene_detail BG13580
BSU_09310,pgcA,"alpha-phosphoglucomutase, required for UDP-glucose synthesis, inhibits [[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] ring assembly (indirect effect due to a defect in UDP-glucose synthesis), possesses a secondary phosphoglucosamine mutase activity",interconversion of glucose 6-phosphate and alpha-glucose 1-phosphate,alpha-phosphoglucomutase,pgcA;yhxB;gtaC;gtaE,P18159,gene_detail BG10189
new_1997958_1998066_c,S679,"new RNA feature, 5'UTR of ppsA
",,5'UTR of ppsA,S679,,
BSU_18110,ynfC,unknown,unknown,unknown,ynfC,Q45067,gene_detail+BG11828
new_2265144_2265224_c,S808,"new RNA feature, 3'UTR of bdbB
",,3'UTR of bdbB,S808,,
BSU_03380,yckB,similar to amino acid [SW|ABC transporter] (binding protein),unknown,unknown,yckB,P42400,gene_detail BG11178
new_2792102_2792210_c,S1036,"new RNA feature, 5'UTR of greA
",,5'UTR of greA,S1036,,
BSU_08100,acoR,transcriptional activator of the [[gene|B0A333BDFAE816B48B856A1DD91B73C41584A8E4]]-[[gene|5F953C3C91EB65A031D04A1D91F1CF501F8EFD09]]-[[gene|C4B6C3EE560C8BD353FEABB1A607C89C20DC8D34]]-[[gene|acoL ]]operon,regulation of acetoin utilization,transcriptional activator (for [[protein|1118A21CC581B0470EC6E7C178F2523CDCA70F93]]-dependent promoter),acoR;yfjG;yzcB,O31551,gene_detail BG11790
BSU_03750,yclJ,"two-component response regulator ([SW|OmpR family]), active under anaerobic conditions",unknown,two-component response regulator ([SW|OmpR family]),yclJ,P94413,gene_detail+BG12031
BSU_39339,yxzL,unknown,unknown,unknown,yxzL,C0H3T6,
BSU_05090,yddS,similar to metabolite transport protein,unknown,unknown,yddS,P96656,gene_detail+BG12126
BSU_09080,yhcH,similar to [SW|ABC transporter] (ATP-binding protein),unknown,[SW|ABC transporter] (ATP-binding protein),yhcH,P54592,gene_detail+BG11586
new_17238_17833_c,S9,"new RNA feature, independent transcript
",,independent transcript,S9,,
BSU_18019,ynzL,unknown,unknown,unknown,ynzL,C0H418,
BSU_33221,yvrHb,two-component response regulator ([SW|OmpR family]),regulation cell surface maintenance,two-component response regulator ([SW|OmpR family]),yvrHb;yvrH,P94504,
BSU_09920,sbcE,"SMC-like protein, involved in DNA double-strand break repair and competence",DNA double-strand break repair and competence,SMC-like protein,sbcE;yhaN,O08455,gene_detail BG12990
new_150362_150442,S57,"new RNA feature, intergenic region
",,intergenic region,S57,,
BSU_30840,yteA,sporulation protein,unknown,sporulation protein,yteA;yzwB,P42408,gene_detail+BG11200
BSU_33720,opuBB,choline and arsenocholine [SW|ABC transporter] (membrane protein),compatible solute transport,choline and arsenocholine [SW|ABC transporter] (membrane protein),opuBB;proW,Q45461,gene_detail BG12634
BSU_36130,ywrA,subunit of chromate exporter (with [[protein|E63704C51B53F05BAD9B35D3B6874DB9231B6D24]]),chromate detoxification,chromate exporter,ywrA;chr3C,O05215,gene_detail+BG12520
BSU_14320,yknU,similar to [SW|ABC transporter] (ATP-binding protein),unknown,[SW|ABC transporter] (ATP-binding protein),yknU,O31707,gene_detail+BG13241
BSU_25450,yqeT,similar to ribosomal protein L11 methyltransferase,unknown,unknown,yqeT,P54460,gene_detail BG11644
BSU_20600,yoqK,unknown,unknown,unknown,yoqK,O34326,gene_detail+BG13670
BSU_04280,ydaK,"general stress protein, may act as c-di-GMP receptor, required for extracellular polysaccharide synthesis by [[protein|28D80C5497AE29A24AD6B9A1A713A2B3915F2CED]]-[[protein|961538BEDD27C24FC073AFB7AB3268E3D46783CC]]-[[protein|ADE0122D8FFF2F78B6D21031B7D02A323A13ED63]]",unknown,general stress protein,ydaK,P96585,gene_detail BG12058
BSU_tRNA_59,trnB-Pro,,translation,transfer RNA-Pro,trnB-Pro,,gene_detail+BG00081
BSU_21020,yonR,similar to transcription regulator ([SW|Xre family]),unknown,unknown,yonR,O31943,gene_detail+BG13628
new_3688579_3688715_c,S1377,"new RNA feature, 5'UTR of pmi
",,5'UTR of pmi,S1377,,
new_549652_549910,S174,"new RNA feature, 3'UTR of yddM
",,3'UTR of yddM,S174,,
BSU_06860,yezE,similar to transcriptional regulator ([SW|TetR family]),unknown,putative transcriptional regulator ([SW|TetR family]),yezE,Q7WY76,gene_detail+BG14194
BSU_18800,penP,beta-lactamase,resistance to beta-lactam antibiotics,beta-lactamase,penP,P39824,gene_detail+BG11016
new_4011685_4011824,S1506,"new RNA feature, 3'UTR of citH
",,3'UTR of citH,S1506,,
BSU_34760,glmR,"regulator of carbon partitioning between central metabolism and peptidoglycan biosynthesis, control of [SW|cell shape], required for correct localization of [[protein|A8EEC896B279CFDDE9C3A6F146A04EC822E33A4F|PBP1]]","regulation of carbon partitioning between central metabolism and peptidoglycan biosynthesis, localization of [[protein|A8EEC896B279CFDDE9C3A6F146A04EC822E33A4F|PBP1]]",activator of [[protein|4E23D2043D51C587027ABBF6335F148295E90B8F]] activity,glmR;yvcK,O06974,gene_detail BG12401
BSU_08740,ygzB,unknown,unknown,unknown,ygzB,Q7WY74,gene_detail+BG14192
BSU_31550,nupO,[SW|ABC transporter] for guanosine (ATP-binding protein),uptake of guanosine,[SW|ABC transporter] for guanosine,nupO;yufO,O05253,gene_detail+BG12350
