gene_id.ko,gene_id.uniref90,gene_description,module,sheet,header,subheader,potential_amg,strain
NA,O34414,yodN;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31864,yozE;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H434,yokU;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01843,O34676,"kamA;L-lysine 2,3-aminomutase",Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K21935,O34895,yodP;N-acetyltransferase YodP,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01438,O34984,yodQ;metallohydrolase YodQ,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34466,yodR;coenzyme A transferase subunit beta,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34317,yodS;coenzyme A transferase subunit alpha,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34662,yodT;aminotransferase YodT,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H435,yoyG;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06323,P42093,cgeE;N-acetyltransferase CgeE,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06322,P42092,cgeD;spore maturation protein CgeD,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06321,P42091,cgeC;spore maturation protein CgeC,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06319,P42089,cgeA;spore maturation protein CgeA,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06320,P42090,cgeB;spore maturation protein CgeB,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,NA,"yodU;UDP-NAcGlcA inverting 4,6-dehydratase (N-terminal part)",Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34850,sprB;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06420,P02958,sspC;small acid-soluble spore protein C,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,NA,ypqP;unknown,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O32007,ypzA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54165,ypeQ;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K03469,P54164,ypeP;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06429,Q7WY66,sspL;small acid-soluble spore protein L,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K23786,P54161,exoR;5'-3' exonuclease,NA,MISC,Genetics,DNA replication,TRUE,bs
NA,C0H443,ypzF;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K16168,P54158,bpsB;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K16167,P54157,bpsA;chalcone synthase,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P50841,yptA;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H444,ypzG;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06327,P07791,cotD;spore coat protein D,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P50836,ypqA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P50835,yppG;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P50832,yppD;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06430,Q7WY65,sspM;small acid-soluble spore protein M,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P39791,yppC;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K03524,P0CI75,birA;bifunctional protein BirA,Biosynthesis of fatty acids,MISC,Lipid metabolism,Biosynthesis of lipids,TRUE,bs
K00974,P42977,cca;CCA-adding enzyme,tRNA modification and maturation,MISC,"Protein synthesis, modification and degradation",Translation,TRUE,bs
K00754,P42982,bshA;glycosyltransferase YpjH,Biosynthesis of bacillithiol,MISC,Additional metabolic pathways,Miscellaneous metabolic pathways,TRUE,bs
K01463,P42981,bshB1;deacetylase YpjG,Biosynthesis of bacillithiol,MISC,Additional metabolic pathways,Miscellaneous metabolic pathways,TRUE,bs
K01734,P42980,mgsA;methylglyoxal synthase,Glycolysis,MISC,Carbon metabolism,Carbon core metabolism,TRUE,bs
K00215,P42976,dapB;4-hydroxy-tetrahydrodipicolinate reductase,Biosynthesis of peptidoglycan,MISC,Cell envelope and cell division,Cell wall synthesis,TRUE,bs
NA,P42979,ypjD;hypothetical protein,NA,MISC,Poorly characterized/ putative enzymes,NA,TRUE,bs
NA,P54393,ypjB;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54392,ypjA;hypothetical protein,NA,MISC,Membrane proteins,NA,TRUE,bs
NA,P54389,ypiA;TPR repeat-containing protein YpiA,NA,MISC,Proteins of unknown function,NA,TRUE,bs
K00940,P31103,ndk;nucleoside diphosphate kinase,NA,MISC,Nucleotide metabolism,Nucleotide metabolism/ other,TRUE,bs
K03183,P31113,menH;demethylmenaquinone methyltransferase,Biosynthesis of menaquinone,MISC,Additional metabolic pathways,Biosynthesis of cofactors,TRUE,bs
K06398,P35149,spoIVA;stage IV sporulation protein A,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H445,ypzH;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K05739,P50742,seaA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P50741,yphA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H446,ypzI;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P38492,ypfB;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06313,P38490,ypeB;sporulation protein YpeB,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K01449,P50739,sleB;spore cortex-lytic enzyme,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K16511,P50734,ypbH;adapter protein MecA 2,Additional proteins involved in proteolysis,MISC,"Protein synthesis, modification and degradation",Proteolysis,TRUE,bs
NA,P50733,ypbG;hypothetical protein,NA,MISC,Coping with stress,"Cell envelope stress proteins (controlled by SigM, V, W, X, Y)",TRUE,bs
NA,P35160,resA;thiol-disulfide oxidoreductase ResA,Respiration/ other,MISC,Electron transport and ATP synthesis,Respiration,TRUE,bs
K06374,P35158,spmB;spore maturation protein B,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06373,P35157,spmA;spore maturation protein A,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K07258,P35150,dacB;D-alanyl-D-alanine carboxypeptidase DacB,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P35156,ypuI;hypothetical protein,rRNA modification and maturation,MISC,"Protein synthesis, modification and degradation",Translation,TRUE,bs
K00794,P11998,"ribH;6,7-dimethyl-8-ribityllumazine synthase",Biosynthesis/ acquisition of riboflavin/ FAD,MISC,Additional metabolic pathways,Biosynthesis of cofactors,TRUE,bs
NA,P17616,ypuD;hypothetical protein,NA,MISC,Coping with stress,General stress proteins (controlled by SigB),TRUE,bs
K03100,P28628,sipS;signal peptidase I S,NA,MISC,"Protein synthesis, modification and degradation",Protein secretion,TRUE,bs
NA,O32012,ypzC;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O32013,ypzD;spore germination protein-like protein YpzD,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K01586,P23630,lysA;diaminopimelate decarboxylase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06408,P31845,spoVAF;stage V sporulation protein AF,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06407,P40870,spoVAEA;stage V sporulation protein AE,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K06407,C0H450,spoVAEB;stage V sporulation protein AEB,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K06406,P40869,spoVAD;stage V sporulation protein AD,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K06405,P40868,spoVAC;stage V sporulation protein AC,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06404,P40867,spoVAB;stage V sporulation protein AB,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06403,P40866,spoVAA;stage V sporulation protein AA,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03091,P07860,sigF;RNA polymerase sigma-F factor,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06379,P10728,spoIIAB;anti-sigma F factor,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06378,P10727,spoIIAA;anti-sigma F factor antagonist,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K07258,P38422,dacF;D-alanyl-D-alanine carboxypeptidase DacF,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K04763,P46352,ripX;tyrosine recombinase XerD,NA,MISC,Genetics,DNA condensation/ segregation,TRUE,bs
K06384,P37873,spoIIM;stage II sporulation protein M,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,L8EBJ9,mciZ;[[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] inhibition peptide,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54569,yqkF;oxidoreductase,NA,MISC,Poorly characterized/ putative enzymes,NA,TRUE,bs
K05606,P54540,yqjC;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54539,"yqjB;L,D-transpeptidase YqjB",Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K03417,P54528,mmgF;methylisocitrate lyase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01720,P45859,mmgE;2-methylcitrate dehydratase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01647,P45858,mmgD;2-methylcitrate synthase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K18244,P45857,mmgC;acyl-CoA dehydrogenase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00074,P45856,mmgB;3-hydroxybutyryl-CoA dehydrogenase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00626,P45855,mmgA;acetyl-CoA acetyltransferase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K07699,P06534,spo0A;stage 0 sporulation protein A,NA,MISC,Sporulation,phosphorelay,TRUE,bs
K06399,P17896,spoIVB;peptidase S55,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06397,P49785,spoIIIAH;stage III sporulation protein AH,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06396,P49784,spoIIIAG;stage III sporulation protein AG,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06395,P49783,spoIIIAF;stage III sporulation protein AF,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06394,P49782,spoIIIAE;stage III sporulation protein AE,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06393,P49781,spoIIIAD;stage III sporulation protein AD,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06392,P49780,spoIIIAC;stage III sporulation protein AC,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06391,Q01368,spoIIIAB;stage III sporulation protein AB,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06390,Q01367,spoIIIAA;stage III sporulation protein AA,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P49779,yqhV;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K01262,P54518,papA;peptidase YqhT,Utilization of peptides,MISC,Amino acid/ nitrogen metabolism,Utilization of nitrogen sources other than amino acids,TRUE,bs
NA,P54516,yqhR;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54515,yqhQ;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54514,yqhP;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K07001,P54513,yqhO;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K00283,P54377,gcvPB;glycine dehydrogenase subunit 2,Utilization of threonine/ glycine,MISC,Amino acid/ nitrogen metabolism,Utilization of amino acids,TRUE,bs
K00282,P54376,gcvPA;glycine dehydrogenase subunit 1,Utilization of threonine/ glycine,MISC,Amino acid/ nitrogen metabolism,Utilization of amino acids,TRUE,bs
K00605,P54378,gcvT;aminomethyltransferase,Utilization of threonine/ glycine,MISC,Amino acid/ nitrogen metabolism,Utilization of amino acids,TRUE,bs
NA,P54509,yqhH;ATP-dependent helicase YqhH,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54508,yqhG;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06372,P23308,sinI;SinR antagonist SinI,Control of transcription factor (other than two-component system),MISC,Regulation of gene expression,Transcription factors and their control,TRUE,bs
K19449,P06533,sinR;XRE family transcriptional regulator,Transcription factors/ other,MISC,Regulation of gene expression,Transcription factors and their control,TRUE,bs
K06336,P54507,tasA;spore coat protein N,NA,MISC,Exponential and early post-exponential lifestyles,Biofilm formation,TRUE,bs
K19433,P40949,tapA;hypothetical protein,NA,MISC,Exponential and early post-exponential lifestyles,Biofilm formation,TRUE,bs
NA,O32019,yqzG;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O32020,spoIIIL;hypothetical protein,NA,MISC,Sporulation,Sporulation/ other,TRUE,bs
K01308,P54497,yqgT;hypothetical protein,Endopeptidases,MISC,Cell envelope and cell division,Cell wall degradation/ turnover,TRUE,bs
NA,P54492,yqgO;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K08222,P54487,yqgE;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54483,yqfZ;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03526,P54482,ispG;4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54481,yqfX;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54478,yqfU;hypothetical protein,NA,MISC,Membrane proteins,NA,TRUE,bs
NA,P54477,yqfT;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01151,P54476,nfo;endonuclease IV,NA,MISC,Genetics,DNA repair/ recombination,TRUE,bs
NA,P54474,yqfQ;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03086,P06224,sigA;RNA polymerase sigma factor RpoD,Sigma factors,MISC,RNA synthesis and degradation,Transcription,TRUE,bs
K06438,P54469,yqfD;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54468,yqfC;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03324,P54463,yqeW;hypothetical protein,Uptake of other small ions,MISC,Transporters,Transporters/ other,TRUE,bs
NA,P54304,hemN;oxygen-independent coproporphyrinogen-III oxidase 1,Biosynthesis of heme/ siroheme,MISC,Additional metabolic pathways,Biosynthesis of cofactors,TRUE,bs
NA,P38425,yqxA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06385,P37968,spoIIP;stage II sporulation protein P,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06012,P22322,gpr;germination protease,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K02239,P39696,comER;ComE operon protein 4,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06371,Q7WY62,sda;sporulation inhibitor sda,Proteins controlling the activity of the kinases,MISC,Sporulation,phosphorelay,TRUE,bs
K01447,P54450,cwlH;N-acetylmuramoyl-L-alanine amidase CwlH,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00033,P54448,yqeC;6-phosphogluconate dehydrogenase YqeC,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P42983,nucB;sporulation-specific extracellular nuclease,NA,MISC,Nucleotide metabolism,Utilization of nucleotides,TRUE,bs
NA,P12254,sigK;[SW|RNA polymerase ][SW|sporulation]-specific [SW|sigma factor](sigma-K) (5' part of the gene),Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06400,P17867,spoIVCA;DNA recombinase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03741,P45947,arsC;arsenate reductase ArsC,NA,MISC,Coping with stress,Resistance against toxic metals,TRUE,bs
K03325,P45946,arsB;arsenite resistance protein ArsB,Metal ion transporter,MISC,Transporters,Transporters/ other,TRUE,bs
NA,P45945,yqcK;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03892,P45949,arsR;arsenical resistance operon repressor,Transcription factors/ other,MISC,Regulation of gene expression,Transcription factors and their control,TRUE,bs
K09190,P45944,yqcI;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06363,P45943,rapE;response regulator aspartate phosphatase E,Phosphatases controlling the phosphorelay,MISC,Sporulation,phosphorelay,TRUE,bs
K06354,O32025,phrE;phosphatase RapE inhibitor,Other protein controlling the activity of the phosphorelay,MISC,Sporulation,phosphorelay,TRUE,bs
NA,P45912,yqaO;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P45911,yqaN;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H455,yqzO;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P45899,yqaB;hypothetical protein,NA,MISC,Prophages,Skin element,TRUE,bs
NA,P12254,sigKC;[SW|RNA polymerase ][SW|sporulation]-specific [SW|sigma factor ](SigK) (3' part of the interrupted [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene),Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,NA,yrzN;unknown,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54430,yrkC;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O08469,cypA;cytochrome P450,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06440,O07919,yraG;spore coat protein F,Spore coat protein/ based on similarity,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O07949,yraF;spore coat protein F,Spore coat protein/ based on similarity,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00121,O06012,adhB;zinc-type alcohol dehydrogenase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O06011,yraE;hypothetical protein,Spore coat protein/ based on similarity,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06439,O06010,yraD;spore coat protein F,Spore coat protein/ based on similarity,MISC,Sporulation,Sporulation proteins,TRUE,bs
K17217,O05394,mccB;cystathionine gamma-lyase,Biosynthesis/ acquisition of cysteine,MISC,Amino acid/ nitrogen metabolism,Biosynthesis/ acquisition of amino acids,TRUE,bs
K17216,O05393,mccA;O-acetylserine dependent cystathionine beta-synthase,Biosynthesis/ acquisition of cysteine,MISC,Amino acid/ nitrogen metabolism,Biosynthesis/ acquisition of amino acids,TRUE,bs
NA,O32030,yrzA;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O32031,yrrS;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K21468,O32032,pbpI;penicillin-binding protein 4B,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34472,yrrI;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K10041,O34677,glnQ;glutamine transport ATP-binding protein GlnQ,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K10039,O34563,glnH;ABC transporter substrate-binding protein GlnH,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K10040,O34671,glnM;glutamine ABC transporter permease protein GlnM,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K10040,O34606,glnP;glutamine ABC transporter permease protein GlnP,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H461,yrzQ;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H462,yrzR;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34402,yrrD;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O32040,yrzK;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06409,Q00758,spoVB;stage V sporulation protein B,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O32050,yrbG;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O32051,yrzE;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06318,O05391,bofC;general stress protein BofC,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O05390,csbX;alpha-ketoglutarate permease,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03310,O32060,yrbD;sodium/proton-dependent alanine carrier protein YrbD,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06345,P94446,coxA;sporulation cortex protein CoxA,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06370,O32062,safA;spoivd-associated factor A,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03517,Q9KWZ1,nadA;quinolinate synthase A,Biosynthesis of NAD(P),MISC,Additional metabolic pathways,Biosynthesis of cofactors,TRUE,bs
K03979,P20964,obg;GTPase ObgE,NA,MISC,Sporulation,phosphorelay,TRUE,bs
K06375,P06535,spo0B;sporulation initiation phosphotransferase B,The phosphotransferases,MISC,Sporulation,phosphorelay,TRUE,bs
K06402,P26937,spoIVFB;stage IV sporulation protein FB,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06401,P26936,spoIVFA;stage IV sporulation protein FA,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03609,Q01464,minD;septum site-determining protein MinD,The Min system,MISC,Cell envelope and cell division,Cell division,TRUE,bs
K03610,Q01463,minC;septum site-determining protein MinC,The Min system,MISC,Cell envelope and cell division,Cell division,TRUE,bs
K03569,Q01465,mreB;rod shape-determining protein MreB,NA,MISC,Cell envelope and cell division,Cell shape,TRUE,bs
K06380,P37575,spoIIB;stage II sporulation protein B,NA,MISC,Sporulation,Sporulation/ other,TRUE,bs
NA,P37964,ysxE;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06417,P37963,spoVID;stage VI sporulation protein D,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K04076,P42425,lonB;Lon protease 2,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P94563,ysnD;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03829,P94562,ysnE;N-acetyltransferase YsnE,NA,MISC,Poorly characterized/ putative enzymes,NA,TRUE,bs
K07095,P94559,ysnB;metallophosphoesterase,NA,MISC,Proteins of unknown function,NA,TRUE,bs
K02428,P94558,ysnA;non-canonical purine NTP pyrophosphatase,NA,MISC,Poorly characterized/ putative enzymes,NA,TRUE,bs
K00989,P28619,rph;ribonuclease PH,Exoribonucleases,MISC,RNA synthesis and degradation,RNases,TRUE,bs
K06298,P39072,gerM;spore germination protein GerM,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K01776,P94556,racE;glutamate racemase,Biosynthesis of peptidoglycan,MISC,Cell envelope and cell division,Cell wall synthesis,TRUE,bs
NA,P97247,ysmB;MarR family transcriptional regulator,Transcription factor/ other/ based on similarity,MISC,Regulation of gene expression,Transcription factors and their control,TRUE,bs
K01994,P11470,gerE;spore germination protein GerE,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
NA,P42955,yslB;hypothetical protein,NA,MISC,Proteins of unknown function,NA,TRUE,bs
K06426,P94537,sspI;small acid-soluble spore protein I,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K02647,P94536,ysfB;hypothetical protein,Transcription factor/ other/ based on similarity,MISC,Regulation of gene expression,Transcription factors and their control,TRUE,bs
NA,P06569,ytxC;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03346,P07908,dnaB;replication initiation and membrane attachment protein,NA,MISC,Genetics,DNA replication,TRUE,bs
K00134,O34425,gapB;glyceraldehyde-3-phosphate dehydrogenase 2,Gluconeogenesis,MISC,Carbon metabolism,Carbon core metabolism,TRUE,bs
