old_locus_tag,locus_tag,Gene product,gene name,Functional class,Functional colour,Transcriptome p-adj value , Transcriptome log2fold change in 630?erm?spo0A, Proteome log2fold change in 630?erm?spo0A,Mature spore proteome (PMID:19542279)
CD1700,CD630_17000,Riboflavin biosynthesis protein ribD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase ; 5-amino-6-(5-phosphoribosylamino) uracil reductase],ribD,3.2.13,7,not significant,not significant,not detected,not detected
CD1701,CD630_17010,ATP-dependent DNA helicase,recQ,2.2.3,2,not significant,not significant,-0.3021,not detected
CD1702,CD630_17020,Thiamine biosynthesis protein ThiC,thiC,3.2.14,7,not significant,not significant,not detected,not detected
CD1702A,CD630_17021,Thiamine biosynthesis protein ThiS,thiS,3.2.14,7,not significant,not significant,not detected,not detected
CD1703,CD630_17030,Thiamine biosynthesis protein ThiF,thiF,3.2.14,7,not significant,not significant,not detected,not detected
CD1704,CD630_17040,Thiazole biosynthesis protein ThiG,thiG,3.2.14,7,not significant,not significant,not detected,not detected
CD1705,CD630_17050,Thiamine biosynthesis protein ThiH,thiH,3.2.14,7,not significant,not significant,not detected,not detected
CD1706,CD630_17060,Thiamine-phosphate pyrophosphorylase ThiE2,thiE2,3.2.14,7,not significant,not significant,not detected,not detected
CD1707,CD630_17070,"putative C4-dicarboxylate anaerobic carrier,DcuC family",,1.5.3,3,not significant,not significant,not detected,detected
CD1708,CD630_17080,rela/spot domain protein,,7.0.0,13,3.50E-09,1.2761,not detected,not detected
CD1709,CD630_17090,Molybdopterin-guanine dinucleotide biosynthesis protein A,mobA,3.2.9,7,not significant,not significant,not detected,not detected
CD1710,CD630_17100,putative NAD(P)-binding protein,,7.0.0,13,not significant,not significant,not detected,not detected
CD1711,CD630_17110,"uncharacterised protein, UPF0145 family",,7.0.0,13,not significant,not significant,0.0348,not detected
CD1712,CD630_17120,Molybdenum cofactor biosynthesis protein MoaB,moaB,3.2.9,7,not significant,not significant,0.8464,not detected
CD1713,CD630_17130,Molybdenum cofactor biosynthesis protein MoaA,moaA,3.2.9,7,not significant,not significant,not detected,not detected
CD1714,CD630_17140,Molybdenum cofactor biosynthesis protein MoaC,moaC,3.2.9,7,not significant,not significant,-0.2245,not detected
CD1715,CD630_17150,putative molybdenum cofactor sulfurase,,3.2.9,7,not significant,not significant,-0.259,not detected
CD1715A,CD630_17151,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1716,CD630_17160,putative permease,,1.5.5,3,5.75E-15,1.6137,not detected,not detected
CD1717,CD630_17170,uncharacterised protein,,7.0.0,13,0.0004,1.2595,0.9431,not detected
CD1718,CD630_17180,putative hydantoinase,,3.4.5,6,8.78E-08,1.1681,1.0726,not detected
CD1719,CD630_17190,Transposase-like protein B,tlpB6,5.1.4,12,0.0002,0.9191,not detected,not detected
CD1721,CD630_17210,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1722,CD630_17220,putative transcriptional regulator,,6.5.0,9,not significant,not significant,-0.0932,not detected
CD1723,CD630_17230,putative acyltransferase,,7.0.0,13,not significant,not significant,-0.5343,not detected
CD1724,CD630_17240,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1725,CD630_17250,"Transcriptional regulator, AraC family",,6.3.2,9,not significant,not significant,not detected,not detected
CD1726,CD630_17260,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1727,CD630_17270,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1728,CD630_17280,uncharacterised protein,,7.0.0,13,not significant,not significant,-0.8836,not detected
CD1728A,CD630_17281,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1729,CD630_17290,putative sodium:phosphate symporter,,1.5.2,3,not significant,not significant,not detected,not detected
CD1729A,CD630_17291,"Fragment of putative transcriptional regulator,AraC family (C-terminal region)",,6.3.2,11,not significant,not significant,not detected,not detected
CD1729B,CD630_17292,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.0717,not detected
CD1730,CD630_17300,putative ATP-binding protein,,7.0.0,13,not significant,not significant,-0.1773,detected
CD1731,CD630_17310,putative acetyltransferase,,7.0.0,13,not significant,not significant,not detected,not detected
CD1732,CD630_17320,putative cobalamin-binding protein,,7.0.0,13,not significant,not significant,not detected,not detected
CD1733,CD630_17330,Uroporphyrinogen decarboxylase (URO-D),hemE,3.4.2,6,not significant,not significant,not detected,not detected
CD1734,CD630_17340,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1735,CD630_17350,putative hydrolase,,3.4.0,6,not significant,not significant,not detected,not detected
CD1736,CD630_17360,"Transcriptional regulator, HTH-type",,6.5.0,9,not significant,not significant,0.0019,not detected
CD1737,CD630_17370,putative divalent ion symporter,,1.5.3,3,not significant,not significant,not detected,not detected
CD1738,CD630_17380,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD1739,CD630_17390,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD1740,CD630_17400,"Glycine/sarcosine/betaine reductase complex,protein B, alpha and beta subunits",,3.4.5,6,not significant,not significant,not detected,not detected
CD1741,CD630_17410,"Fragment of selenoprotein B,glycine/betaine/sarcosine/D-proline reductase family (sarcosine reductase)",,3.4.5,11,not significant,not significant,not detected,not detected
CD1743,CD630_17430,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD1744,CD630_17440,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD1745,CD630_17450,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1745A,CD630_17451,Ferrous iron transport protein,feoA3,1.6.3,0,not significant,not significant,-0.2188,not detected
CD1745B,CD630_17452,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1746,CD630_17460,Sodium/glutamate symporter,gltC,1.5.1,3,not significant,not significant,not detected,not detected
CD1747,CD630_17470,Adenosine deaminase (Adenosine aminohydrolase),add,3.3.11,7,not significant,not significant,-0.1881,not detected
CD1748,CD630_17480,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1749,CD630_17490,putative 2-hydroxyacyl-CoA dehydratase,,3.5.4,1,not significant,not significant,-0.1272,not detected
CD1750,CD630_17500,putative CoA enzyme activase,,3.5.4,1,not significant,not significant,-0.0901,not detected
CD1751,CD630_17510,putative cell wall binding protein cwp13,cwp13,4.1.8,3,not significant,not significant,-0.221,not detected
CD1751A,CD630_17511,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1752,CD630_17520,"Transcriptional regulator, TetR family",,6.3.8,9,not significant,not significant,not detected,not detected
CD1753,CD630_17530,"ABC-type transport system, multidrug-family ATP-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD1754,CD630_17540,"ABC-type transport system, multidrug-family permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD1755,CD630_17550,"ABC-type transport system, multidrug-family permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD1755A,CD630_17551,"Transcriptional regulator, HTH-type",,6.5.0,9,not significant,not significant,not detected,not detected
CD1756,CD630_17560,Peptide deformylase 1 (PDF 1) (Polypeptide deformylase 1),def1,2.2.10,2,not significant,not significant,not detected,not detected
CD1757,CD630_17570,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1758,CD630_17580,putative radical SAM superfamily protein,,3.3.16,7,not significant,not significant,not detected,not detected
CD1759,CD630_17590,methyltransferase domain protein,,7.0.0,13,not significant,not significant,not detected,not detected
CD1759A,CD630_17591,"Fragment of conserved hypothetical protein,UPF0027 family (C-terminal region)",,0.0.2,11,not significant,not significant,not detected,not detected
CD1760,CD630_17600,putative iron-sulfur protein,,3.5.3,1,not significant,not significant,not detected,not detected
CD1761,CD630_17610,putative phenazine biosynthesis PhzC/PhzF protein,,7.0.0,13,not significant,not significant,not detected,not detected
CD1762,CD630_17620,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1763,CD630_17630,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD1764,CD630_17640,putative phenylalanyl-tRNA synthetase beta chain,,2.2.1,2,not significant,not significant,0.4586,not detected
CD1765,CD630_17650,"putative hydrolase, NUDIX family",,3.4.0,6,not significant,not significant,not detected,not detected
CD1766,CD630_17660,putative lipoprotein,,4.1.7,3,not significant,not significant,not detected,not detected
CD1767,CD630_17670,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH),gapB,3.5.5,1,not significant,not significant,0.7969,not detected
CD1767A,CD630_17671,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1768,CD630_17680,putative membrane protein,,4.1.6,3,8.04E-22,1.6894,0.7838,not detected
CD1769,CD630_17690,putative CoA enzyme activase,,7.0.0,13,not significant,not significant,-0.3032,not detected
CD1770,CD630_17700,Methylated-DNA-[protein]-cysteine S-methyltransferase 2,ogt2,2.2.3,2,not significant,not significant,not detected,not detected
CD1771,CD630_17710,putative monooxygenase,,7.0.0,13,not significant,not significant,-0.7125,not detected
CD1772,CD630_17720,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1773,CD630_17730,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1774,CD630_17740,"ABC-type transport system, aminoacid-family extracellular solute-binding protein",,1.5.1,3,not significant,not significant,-0.2094,not detected
CD1775,CD630_17750,"ABC-type transport system, aminoacid-family permease",,1.5.1,3,not significant,not significant,not detected,not detected
CD1776,CD630_17760,"ABC-type transport system, aminoacid-family ATP-binding protein",,1.5.1,3,not significant,not significant,not detected,not detected
CD1777,CD630_17770,putative arsenate reductase,,1.4.2,0,not significant,not significant,-0.2932,not detected
CD1778,CD630_17780,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1779,CD630_17790,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.3582,not detected
CD1780,CD630_17800,putative RNA methylase,,2.2.11,2,not significant,not significant,0.0499,not detected
CD1781,CD630_17810,putative lipoprotein,,4.1.7,3,not significant,not significant,0.044,not detected
CD1782,CD630_17820,Two-component response regulator,,6.1.2,9,not significant,not significant,-0.0101,not detected
CD1783,CD630_17830,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,-0.1963,not detected
CD1784,CD630_17840,Pseudouridylate synthase (tRNA pseudouridine synthase A),truA2,2.2.1,2,not significant,not significant,-0.1377,not detected
CD1785,CD630_17850,Argininosuccinate synthase (Citrulline--aspartate ligase),argG,3.1.2,7,not significant,not significant,-0.1054,not detected
CD1786,CD630_17860,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1787,CD630_17870,"Transcriptional regulator, MerR family",,6.3.12,9,not significant,not significant,not detected,not detected
CD1788,CD630_17880,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD1789,CD630_17890,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,detected
CD1790,CD630_17900,putative exonuclease,,2.1.2,5,not significant,not significant,not detected,not detected
CD1791,CD630_17910,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1792,CD630_17920,putative L-threonine 3-dehydrogenase,,3.1.0,7,not significant,not significant,-0.1887,not detected
CD1793,CD630_17930,putative oxidoreductase,,7.0.0,13,not significant,not significant,not detected,not detected
CD1794,CD630_17940,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1795,CD630_17950,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1796,CD630_17960,putative nitrite and sulfite reductase subunit,,3.3.21,7,2.77E-06,1.2945,0.9725,not detected
CD1797,CD630_17970,Coenzyme A disulfide reductase (CoA-disulfide reductase) (CoADR),,3.4.5,6,1.93E-08,1.4833,0.9953,not detected
CD1798,CD630_17980,"Transcriptional regulator, LysR family",,6.3.6,9,not significant,not significant,not detected,not detected
CD1799,CD630_17990,Tellurium resistance protein terD3,terD3,1.4.2,0,not significant,not significant,0.0449,not detected
CD1800,CD630_18000,Tellurium resistance protein terD4,terD4,1.4.2,0,not significant,not significant,0.027,detected
CD1801,CD630_18010,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD1802,CD630_18020,"putative hydrolase, metallo-beta-lactamase superfamily",,1.4.3,0,not significant,not significant,not detected,not detected
CD1803,CD630_18030,putative cell wall-binding protein cwp23,cwp23,4.1.8,3,not significant,not significant,0.1428,not detected
CD1804,CD630_18040,"Transcriptional regulator, LacI family",scrR,6.3.5,9,not significant,not significant,0.0508,not detected
CD1805,CD630_18050,Sucrose-6-phosphate hydrolase (Sucrase) (Invertase),scrB,3.4.3,6,not significant,not significant,not detected,not detected
CD1806,CD630_18060,Fructokinase,scrK,3.4.5,6,not significant,not significant,not detected,not detected
CD1807,CD630_18070,putative NADPH-dependent FMN reductase,,3.5.3,1,not significant,not significant,not detected,not detected
CD1808,CD630_18080,"Pyridoxal-dependent decarboxylase, group IV decarboxylase family",,3.4.2,6,not significant,not significant,not detected,not detected
CD1809,CD630_18090,"Fragment of putative permease, MFS family",,1.4.3,11,not significant,not significant,not detected,not detected
CD1810,CD630_18100,"Transcriptional regulator, beta-lactams repressor",,6.5.0,9,not significant,not significant,0.6559,not detected
CD1811,CD630_18110,Fragment of putative two-component sensor histidine kinase (N-terminal region),,6.1.1,11,not significant,not significant,not detected,not detected
CD1812,CD630_18120,Fragment of putative two-component response regulator (N-terminal region),,6.1.2,11,not significant,not significant,not detected,not detected
CD1813,CD630_18130,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1814,CD630_18140,putative phosphoglycerate mutase,,3.5.5,1,not significant,not significant,0.2017,not detected
CD1815,CD630_18150,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1816,CD630_18160,Cytidylate kinase (CK) (Cytidine monophosphate kinase) (CMP kinase),cmk,3.3.11,7,not significant,not significant,0.103,not detected
CD1817,CD630_18170,putative acyltransferase,,7.0.0,13,not significant,not significant,0.1786,not detected
CD1818,CD630_18180,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,ispH,3.2.8,7,not significant,not significant,-0.0943,not detected
CD1819,CD630_18190,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD1820,CD630_18200,adenine deaminase,ade,3.4.5,6,not significant,not significant,-0.482,not detected
CD1821,CD630_18210,Transposase-like protein B,tlpB7,5.1.4,12,not significant,not significant,not detected,not detected
CD1822,CD630_18220,putative thiol peroxidase,bcp,1.4.2,0,not significant,not significant,-0.6763,not detected
CD1823,CD630_18230,"conserved hypothetical protein, UPF0246 family",,0.0.2,10,not significant,not significant,not detected,not detected
CD1824,CD630_18240,P-type calcium transport ATPase,,1.5.2,3,not significant,not significant,not detected,not detected
CD1825,CD630_18250,O-acetylhomoserine sulfhydrylase,metY,3.1.6,7,0.0064,-0.7429,-0.3604,not detected
CD1826,CD630_18260,Homoserine O-succinyltransferase,metA,3.1.14,7,0.0064,-0.7994,not detected,not detected
CD1827,CD630_18270,"Transcriptional regulator, MarR family",,6.3.7,9,not significant,not significant,not detected,not detected
CD1828,CD630_18280,Cell division protease FtsH1,ftsH1,1.7.1,0,not significant,not significant,0.1465,not detected
CD1829,CD630_18290,Two-component sensor histidine kinase KdpD,kdpD,6.1.1,9,not significant,not significant,not detected,not detected
CD1830,CD630_18300,Two-component response regulator KdpE,kdpE,6.1.2,9,not significant,not significant,not detected,not detected
CD1831,CD630_18310,"putative cation (Mg2+ and Co2+) transport-related, membrane protein",,1.5.2,3,not significant,not significant,not detected,not detected
CD1831A,CD630_18311,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1832,CD630_18320,3-deoxy-D-arabino-heptulosonate 7-phosphate synthase,aroF1,3.1.5,7,not significant,not significant,-0.4635,not detected
CD1833,CD630_18330,3-dehydroquinate synthase,aroB,3.1.5,7,not significant,not significant,-0.1664,not detected
CD1834,CD630_18340,3-phosphoshikimate 1-carboxyvinyltransferase,aroA,3.1.5,7,0.0097,-0.7047,-0.2884,not detected
CD1835,CD630_18350,Chorismate synthase (5-enolpyruvylshikimate-3-phosphate phospholyase),aroC,3.1.5,7,not significant,not significant,-0.148,not detected
CD1836,CD630_18360,"Bifunctional P-protein, chorismate mutase/prephenate dehydratase",pheA,3.1.15,7,not significant,not significant,0.1825,not detected
CD1837,CD630_18370,Shikimate dehydrogenase 1,aroE1,3.1.5,7,not significant,not significant,0.1097,not detected
CD1838,CD630_18380,Shikimate kinase (SK),aroK,3.1.5,7,not significant,not significant,0.6025,not detected
CD1839,CD630_18390,Prephenate dehydrogenase,tyrC,3.1.20,7,not significant,not significant,-0.1314,not detected
CD1840,CD630_18400,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD1841,CD630_18410,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD1842,CD630_18420,"conserved hypothetical protein, DUF218 family",,0.0.2,10,not significant,not significant,not detected,not detected
CD1843,CD630_18430,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1844,CD630_18440,Fragment of conserved hypothetical protein,,7.0.0,13,not significant,not significant,not detected,detected
CD1844A,CD630_18441,putative rRNA methyltransferase (C-terminal region),,2.2.11,2,not significant,not significant,not detected,not detected
CD1845,CD630_18450,"putative membrane protein Tn1549-like,CTn5-Orf1",,4.1.6,11,not significant,not significant,not detected,not detected
CD1846,CD630_18460,"putative conjugative transposon protein Tn1549-like, CTn5-Orf2",,5.1.4,12,not significant,not significant,not detected,not detected
CD1847,CD630_18470,"putative conjugative transposon protein Tn1549-like, CTn5-Orf3",,5.1.4,12,not significant,not significant,not detected,not detected
CD1848,CD630_18480,"putative conjugative transposon protein Tn1549-like, CTn5-Orf4",,5.1.4,12,not significant,not significant,not detected,not detected
CD1849,CD630_18490,"putative conjugative transfer protein Tn1549-like, CTn5-Orf5",,5.1.4,12,not significant,not significant,not detected,not detected
CD1850,CD630_18500,"Transcriptional regulator, AraC family; Tn1549-like, CTn5-Orf6",,6.3.2,12,not significant,not significant,not detected,not detected
CD1851,CD630_18510,"putative single-strand DNA-binding protein Tn1549-like, CTn5-Orf7",,5.1.4,12,not significant,not significant,not detected,not detected
CD1852,CD630_18520,"putative conjugative transposon protein Tn1549-like, CTn5-Orf8",,5.1.4,12,not significant,not significant,not detected,not detected
CD1853,CD630_18530,"putative membrane protein Tn1549-like,CTn5-Orf9",,5.1.4,12,not significant,not significant,not detected,not detected
CD1854,CD630_18540,"putative conjugative transposon protein Tn1549-like, CTn5-Orf10",,5.1.4,12,not significant,not significant,not detected,not detected
CD1855,CD630_18550,"putative conjugative transposon protein Tn1549-like, CTn5-Orf11",,5.1.4,12,not significant,not significant,not detected,not detected
CD1856,CD630_18560,"putative hydrolase Tn1549-like, CTn5-Orf12",,5.1.4,12,not significant,not significant,not detected,not detected
CD1857,CD630_18570,"putative cell wall hydrolase Tn1549-like,CTn5-Orf13",,5.1.4,12,not significant,not significant,not detected,not detected
CD1857A,CD630_18571,"putative conjugative transposon protein Tn1549-like, CTn5-Orf14",,5.1.4,12,not significant,not significant,not detected,not detected
CD1858,CD630_18580,"putative cell surface protein Tn1549-like,CTn5-Orf15",,5.1.4,12,not significant,not significant,not detected,not detected
CD1859,CD630_18590,"DNA topoisomerase protein, type IA,Tn1549-like,CTn5-Orf16",,5.1.4,12,not significant,not significant,not detected,not detected
CD1859A,CD630_18591,"Transcriptional regulator, AbrB family; Tn1549-like, CTn5-Orf17",,5.1.4,12,not significant,not significant,not detected,not detected
CD1860,CD630_18600,"putative conjugative transposon protein DUF1016 family, Tn1549-like, CTn5-Orf18",,5.1.4,12,not significant,not significant,not detected,not detected
CD1861,CD630_18610,"putative conjugative transposon protein Tn1549-like, CTn5-Orf19",,5.1.4,12,not significant,not significant,not significant,not detected
CD1862,CD630_18620,"putative DNA/RNA helicase Tn1549-like,CTn5-Orf21",,5.1.4,12,not significant,not significant,not detected,not detected
CD1863,CD630_18630,"putative single-strand DNA-binding protein Tn1549-like, CTn5-Orf22",,5.1.4,12,not significant,not significant,not detected,not detected
CD1864,CD630_18640,"Transcriptional regulator, HTH-type Tn1549-like,CTn5-Orf23",,5.1.4,12,not significant,not significant,-0.4224,not detected
CD1865,CD630_18650,"putative DNA recombination protein Tn1549-like,CTn5-Orf24",,5.1.4,12,not significant,not significant,0.0265,not detected
CD1866,CD630_18660,"putative conjugative transposon protein tn1549-like, CTn5-Orf25",,5.1.4,12,not significant,not significant,not detected,not detected
CD1867,CD630_18670,"putative conjugative transposon protein Tn1549-like, CTn5-Orf26",,5.1.4,12,not significant,not significant,0.3311,not detected
CD1868,CD630_18680,"putative conjugative transposon protein Tn1549-like, CTn5-Orf27",,5.1.4,12,not significant,not significant,0.5115,not detected
CD1869,CD630_18690,"putative endonuclease relaxase Tn1549-like,CTn5-Orf28",,5.1.4,12,not significant,not significant,not detected,not detected
CD1870,CD630_18700,"putative conjugative transposon protein Tn1549-like, CTn5-Orf29",,5.1.4,12,not significant,not significant,not detected,not detected
CD1871,CD630_18710,"putative oxidoreductase Tn1549-like,CTn5-Orf30",,5.1.4,12,not significant,not significant,not detected,not detected
CD1871A,CD630_18711,"putative conjugative transposon protein Tn1549-like, CTn5-Orf31",,5.1.4,12,not significant,not significant,not detected,not detected
CD1872,CD630_18720,"putative iron-sulfur binding protein Tn1549-like,CTn5-Orf32",,1.5.5,3,not significant,not significant,not detected,not detected
CD1873,CD630_18730,"ABC-type transport system, permease Tn1549-like,CTn5-Orf33",vexP1,1.5.5,3,not significant,not significant,not detected,not detected
CD1874,CD630_18740,"ABC-type transport system, ATP-binding protein Tn1549-like, CTn5-Orf34",vexP2,1.5.5,3,not significant,not significant,not detected,not detected
CD1875,CD630_18750,"ABC-type transport system, permease Tn1549-like,CTn5-Orf35",vexP3,1.5.5,3,not significant,not significant,not detected,not detected
CD1876,CD630_18760,"Two-component response regulator; Tn1549-like,CTn5-Orf36",vncR,6.1.2,9,not significant,not significant,not detected,not detected
CD1877,CD630_18770,"Two-component sensor histidine kinase; Tn154c-like, CTn5-Orf37",vncS,6.1.1,9,not significant,not significant,not detected,not detected
CD1878,CD630_18780,"putative sigma factor Tn1549-like, CTn5-Orf38",,6.2.1,12,not significant,not significant,not detected,not detected
CD1878A,CD630_18781,Fragment of conserved hypothetical protein (N-terminal region),,5.1.4,11,not significant,not significant,not detected,not detected
CD1878B,CD630_18782,"putative conjugative transposon protein Tn1549-like, CTn5-Orf39",,5.1.4,12,not significant,not significant,not detected,not detected
CD1880,CD630_18800,uncharacterised protein,,7.0.0,13,not significant,not significant,-0.1883,detected
CD1882,CD630_18820,Site-specific recombinase,,5.1.4,12,not significant,not significant,not detected,not detected
CD1883,CD630_18830,"Transcriptional regulator, AraC family",,6.3.2,9,5.73E-06,-1.2699,not detected,not detected
CD1884,CD630_18840,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1885,CD630_18850,putative acetylesterase,,7.0.0,13,not significant,not significant,-0.0954,not detected
CD1886,CD630_18860,"Transcriptional regulator, PadR family",,6.3.14,9,not significant,not significant,not detected,not detected
CD1887,CD630_18870,Extracytoplasmic function (ECF) sigma factor csfU,csfU,6.2.1,9,not significant,not significant,not detected,not detected
CD1888,CD630_18880,Extracytoplasmic function (ECF) anti-sigma factor rsiU,rsiU,6.2.2,9,not significant,not significant,not detected,not detected
CD1889,CD630_18890,"ABC-type transport system, multidrug-family ATP-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD1890,CD630_18900,"ABC-type transport system, multidrug-family permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD1891,CD630_18910,"Fragment of ABC-type transport system,substrate-binding protein",,1.5.5,11,not significant,not significant,not detected,not detected
CD1892,CD630_18920,"putative methyltransferase, type 11 family",,7.0.0,13,not significant,not significant,-0.5113,not detected
CD1893,CD630_18930,putative oligonucleotide binding regulator,,6.5.0,9,0.0016,0.9085,0.2625,not detected
CD1894,CD630_18940,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1895,CD630_18950,putative membrane protein,,4.1.6,3,not significant,not significant,-0.0563,not detected
CD1896,CD630_18960,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1897,CD630_18970,uncharacterised protein,,7.0.0,13,0.0018,0.9467,not detected,not detected
CD1898,CD630_18980,putative phage-related cell wall hydrolase (endolysin),,5.1.2,12,not significant,not significant,0.5579,detected
CD1899,CD630_18990,putative dCMP deaminase,,7.0.0,13,not significant,not significant,not detected,not detected
CD1900,CD630_19000,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1901,CD630_19010,"Transcriptional regulator, Phage-type",,5.1.2,12,not significant,not significant,not detected,not detected
CD1902,CD630_19020,Fragment of putative conjugative transposon protein (Central region),,5.1.4,11,not significant,not significant,not detected,not detected
CD1903,CD630_19030,putative lipoprotein signal peptidase,,2.1.4,5,not significant,not significant,not detected,not detected
CD1904,CD630_19040,"ABC-type transport system, permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD1905,CD630_19050,"Site-specific recombinase, resolvase family",,5.1.4,12,not significant,not significant,not detected,not detected
CD1906,CD630_19060,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1907,CD630_19070,Ethanolamine iron-dependent Alcohol dehydrogenase,eutG,3.5.4,1,not significant,not significant,not detected,not detected
CD1908,CD630_19080,Ethanolamine carboxysome structural protein,eutS,3.4.0,6,not significant,not significant,not detected,not detected
CD1909,CD630_19090,Ethanolamine utilization protein,eutP,3.4.5,6,not significant,not significant,not detected,not detected
CD1910,CD630_19100,"Two-component response regulator, Ethanolamine specific",eutV,6.1.2,9,not significant,not significant,-0.2866,not detected
CD1911,CD630_19110,"Two-component sensor histidine kinase,Ethanolamine specific",eutW,6.1.1,9,not significant,not significant,not detected,not detected
CD1912,CD630_19120,Ethanolamine reactivating factor for ammonia lyase eutBC,eutA,3.4.0,6,not significant,not significant,not detected,not detected
CD1913,CD630_19130,Ethanolamine ammonia lyase large subunit,eutB,3.4.0,6,not significant,not significant,not detected,not detected
CD1914,CD630_19140,Ethanolamine ammonia lyase small subunit,eutC,3.4.1,6,not significant,not significant,not detected,not detected
CD1915,CD630_19150,Ethanolamine carboxysome structural protein,eutL,3.4.0,6,not significant,not significant,not detected,not detected
CD1916,CD630_19160,Ethanolamine carboxysome strutural protein,eutM,3.4.0,6,not significant,not significant,not detected,not detected
CD1917,CD630_19170,Ethanolamine acetaldehyde oxydoreductase,eutE,3.4.0,6,not significant,not significant,not detected,not detected
CD1918,CD630_19180,Ethanolamine carboxysome strutural protein,eutK,3.4.0,6,not significant,not significant,-0.1215,not detected
CD1919,CD630_19190,Ethanolamine corrinoid cobalamin adenosyltransferase,eutT,3.4.0,6,not significant,not significant,not detected,not detected
CD1920,CD630_19200,putative ethanolamine utilization protein,,3.4.5,6,not significant,not significant,not detected,not detected
CD1921,CD630_19210,putative ethanolamine utilization protein,,3.4.0,6,not significant,not significant,not detected,not detected
CD1922,CD630_19220,Ethanolamine carboxysome structural protein,eutN,3.4.0,6,not significant,not significant,not detected,not detected
CD1923,CD630_19230,putative ethanolamine utilization protein,,3.4.0,6,not significant,not significant,not detected,not detected
CD1924,CD630_19240,Ethanolamine transport protein,eutH,1.5.3,3,not significant,not significant,not detected,not detected
CD1925,CD630_19250,Ethanolamine utilization protein,eutQ,3.4.0,6,not significant,not significant,not detected,not detected
CD1926,CD630_19260,"Fragment of transcription regulator, AraC family (C-terminal region)",,6.3.2,11,not significant,not significant,not detected,not detected
