gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027996.1_20	NC_027996.1	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027996.1_20	NC_027996.1	K00012	ytcA;UDP-glucose 6-dehydrogenase YtcA	MISC	Sporulation proteins	Newly identified sporulation proteins (based on transcription profiling)	Sporulation	1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027996.1_20	NC_027996.1	K00012	ugd;UDP-glucose 6-dehydrogenase YwqF	MISC	Phosphorylation on a Tyr residue		Phosphoproteins	1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027996.1_61	NC_027996.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027996.1_63	NC_027996.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027996.1_78	NC_027996.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027996.1_92	NC_027996.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027996.1_123	NC_027996.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027996.1_134	NC_027996.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027996.1_146	NC_027996.1							1	MKET
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027996.1_178	NC_027996.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027996.1_179	NC_027996.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027997.1_19	NC_027997.1	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027997.1_19	NC_027997.1	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027997.1_19	NC_027997.1	K00012	ytcA;UDP-glucose 6-dehydrogenase YtcA	MISC	Sporulation proteins	Newly identified sporulation proteins (based on transcription profiling)	Sporulation	1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027997.1_19	NC_027997.1	K00012	ugd;UDP-glucose 6-dehydrogenase YwqF	MISC	Phosphorylation on a Tyr residue		Phosphoproteins	1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027997.1_63	NC_027997.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027997.1_72	NC_027997.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027997.1_89	NC_027997.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027997.1_118	NC_027997.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027997.1_129	NC_027997.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027997.1_170	NC_027997.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_027997.1_171	NC_027997.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028247.1_17	NC_028247.1	K21636	ribonucleoside-triphosphate reductase [EC:1.17.4.2 1.1.98.6] [RN:R02022 R11636]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028248.1_168	NC_028248.1							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028248.1_174	NC_028248.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028448.1_227	NC_028448.1	GT72	GT72 UDP-Glc: DNA alpha-glucosyltransferase (EC 2.4.1.26)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028652.1_21	NC_028652.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028659.1_99	NC_028659.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028659.1_148	NC_028659.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028662.1_58	NC_028662.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_2	NC_028663.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_23	NC_028663.1							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_25	NC_028663.1	K05580	ndhI; NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2]	Energy	Electron transport Chain		NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_26	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_28	NC_028663.1							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_47	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_50	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_51	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_81	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_92	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_109	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_116	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_145	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_146	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_148	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_164	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_184	NC_028663.1	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_184	NC_028663.1	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_187	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_191	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_203	NC_028663.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028663.1_217	NC_028663.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028672.1_50	NC_028672.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028672.1_180	NC_028672.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028673.1_37	NC_028673.1	CE5	CE5 acetyl xylan esterase (EC 3.1.1.72); cutinase (EC 3.1.1.74)	carbon utilization	CAZY		Carbohydrate Esterases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028673.1_66	NC_028673.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028676.1_2	NC_028676.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028676.1_77	NC_028676.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028676.1_111	NC_028676.1	GH16	GH16 xyloglucan:xyloglucosyltransferase (EC 2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC 3.2.1.103); endo-1,3-beta-glucanase / laminarinase (EC 3.2.1.39); endo-1,3(4)-beta-glucanase (EC 3.2.1.6); licheninase (EC 3.2.1.73); beta-agarase (EC 3.2.1.81); kappa;-carrageenase (EC 3.2.1.83); xyloglucanase (EC 3.2.1.151); endo-beta-1,3-galactanase (EC 3.2.1.181); [retaining] beta-porphyranase (EC 3.2.1.178); hyaluronidase (EC 3.2.1.35); endo-beta-1,4-galactosidase (EC 3.2.1.-); chitin beta-1,6-glucanosyltransferase (EC 2.4.1.-); beta-transglycosidase (EC 2.4.1.-); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-galactanase (EC 3.2.1.181)	carbon utilization	CAZY	Amorphous Cellulose Oligo Cleavage, Xyloglucan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Oligo Cleavage (Hemicellulose), Sulf-Polysachharides Backbone Cleavage	Glycoside Hydrolases	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028683.1_46	NC_028683.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028686.1_33	NC_028686.1	GT72	GT72 UDP-Glc: DNA alpha-glucosyltransferase (EC 2.4.1.26)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028687.1_71	NC_028687.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028742.1_4	NC_028742.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028743.1_34	NC_028743.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028743.1_35	NC_028743.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028746.1_25	NC_028746.1	CBM13	CBM13 Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins this module binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of these modules has not been established. The pseudo three-fold symmetry of the CBM13 module has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis.	carbon utilization	CAZY		Carbohydrate-Binding Modules	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028746.1_63	NC_028746.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028747.1_49	NC_028747.1	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028749.1_14	NC_028749.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028749.1_46	NC_028749.1	CBM32	CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278).	carbon utilization	CAZY		Carbohydrate-Binding Modules	1	MT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028749.1_129	NC_028749.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028750.1_122	NC_028750.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028750.1_148	NC_028750.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028750.1_243	NC_028750.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028750.1_249	NC_028750.1							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028751.1_71	NC_028751.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028754.1_90	NC_028754.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028755.1_123	NC_028755.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028755.1_149	NC_028755.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028755.1_241	NC_028755.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028755.1_247	NC_028755.1							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028758.1_44	NC_028758.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028762.1_36	NC_028762.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028764.1_34	NC_028764.1	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028764.1_34	NC_028764.1	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028764.1_65	NC_028764.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028765.1_47	NC_028765.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028765.1_49	NC_028765.1	K03469	ypeP;hypothetical protein	MISC	Sporulation proteins	Spore coat proteins	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028767.1_53	NC_028767.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028767.1_56	NC_028767.1	K06284	abrB;transition state regulatory protein AbrB	MISC	Transition state regulators		Regulation of gene expression	1	TM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028770.1_5	NC_028770.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028773.1_219	NC_028773.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028773.1_235	NC_028773.1	K21636	ribonucleoside-triphosphate reductase [EC:1.17.4.2 1.1.98.6] [RN:R02022 R11636]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028776.1_38	NC_028776.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028776.1_39	NC_028776.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028776.1_43	NC_028776.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028777.1_74	NC_028777.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028780.1_196	NC_028780.1	GT72	GT72 UDP-Glc: DNA alpha-glucosyltransferase (EC 2.4.1.26)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028782.1_25	NC_028782.1	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028788.1_47	NC_028788.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MTF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028796.1_55	NC_028796.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028799.1_27	NC_028799.1	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028799.1_27	NC_028799.1	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028800.1_41	NC_028800.1	GH28	GH28 polygalacturonase (EC 3.2.1.15); alpha-L-rhamnosidase (EC 3.2.1.40); exo-polygalacturonase (EC 3.2.1.67); exo-polygalacturonosidase (EC 3.2.1.82); rhamnogalacturonase (EC 3.2.1.171); rhamnogalacturonan alpha-1,2-galacturonohydrolase (EC 3.2.1.173); endo-xylogalacturonan hydrolase (EC 3.2.1.-)	carbon utilization	CAZY	Pectin Backbone Cleavage	Glycoside Hydrolases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028805.1_44	NC_028805.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028805.1_66	NC_028805.1	K03086	sigA;RNA polymerase sigma factor RpoD	MISC	Transcription	Sigma factors	RNA synthesis and degradation	1	TM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028808.2_65	NC_028808.2	K21636	ribonucleoside-triphosphate reductase [EC:1.17.4.2 1.1.98.6] [RN:R02022 R11636]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028809.1_52	NC_028809.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028813.1_67	NC_028813.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028817.1_21	NC_028817.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028818.1_38	NC_028818.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028818.1_39	NC_028818.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028820.1_50	NC_028820.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028820.1_230	NC_028820.1							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028821.1_56	NC_028821.1	K06377	spo0M;sporulation-control protein spo0M	MISC	Sporulation/ other		Sporulation	1	FM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028823.1_67	NC_028823.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028825.1_126	NC_028825.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028829.1_133	NC_028829.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028829.1_134	NC_028829.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028829.1_136	NC_028829.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028829.1_137	NC_028829.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028829.1_340	NC_028829.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028829.1_349	NC_028829.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028829.1_374	NC_028829.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028831.1_78	NC_028831.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028831.1_79	NC_028831.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028831.1_82	NC_028831.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028832.1_68	NC_028832.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028838.1_27	NC_028838.1	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028838.1_27	NC_028838.1	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028840.1_107	NC_028840.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028840.1_114	NC_028840.1	K03469	ypeP;hypothetical protein	MISC	Sporulation proteins	Spore coat proteins	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028841.1_61	NC_028841.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028854.1_54	NC_028854.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028856.1_72	NC_028856.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028856.1_76	NC_028856.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028857.1_42	NC_028857.1	GT63	GT63 UDP-Glc: DNA beta-glucosyltransferase (EC 2.4.1.27)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028865.1_74	NC_028865.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028872.1_120	NC_028872.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028876.2_42	NC_028876.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028876.2_92	NC_028876.2	CE10	CE10 arylesterase (EC 3.1.1.-); carboxyl esterase (EC 3.1.1.3); acetylcholinesterase (EC 3.1.1.7); cholinesterase (EC 3.1.1.8); sterol esterase (EC 3.1.1.13); brefeldin A esterase (EC 3.1.1.-).	carbon utilization	CAZY		Carbohydrate Esterases	1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028876.2_112	NC_028876.2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028876.2_189	NC_028876.2	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028882.1_88	NC_028882.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028883.1_36	NC_028883.1	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028883.1_36	NC_028883.1	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028887.1_49	NC_028887.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028887.1_218	NC_028887.1	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028889.1_71	NC_028889.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028890.1_34	NC_028890.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028890.1_39	NC_028890.1	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028890.1_39	NC_028890.1	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028890.1_167	NC_028890.1	K03091	sigH;RNA polymerase sigma-H factor	MISC	Transcription	Sigma factors	RNA synthesis and degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028890.1_167	NC_028890.1	K03091	sigE;RNA polymerase sigma-E factor	MISC	Sigma factors and their control	Sigma factors	Regulation of gene expression	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028890.1_167	NC_028890.1	K03091	sigG;RNA polymerase sigma-G factor	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028890.1_167	NC_028890.1	K03091	sigF;RNA polymerase sigma-F factor	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028890.1_177	NC_028890.1	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_028895.1_31	NC_028895.1							1	MK
